# {"t_start": 1592852769.0353205, "env_id": null} 
r,l,t
2195.0,3440,47.706646
2506.0,1447,66.601334
1699.0,610,73.896564
1694.0,593,81.973329
1891.0,883,93.447558
922.0,560,100.395622
1786.0,908,111.824894
1079.0,656,120.505723
2359.0,1097,134.434371
2270.0,1087,148.804728
1359.0,703,157.870735
1345.0,543,164.921353
1374.0,609,172.918227
1519.0,581,180.518777
1455.0,1352,197.689407
2699.0,1778,220.634743
2640.0,1663,242.419923
1752.0,734,252.129988
1087.0,673,260.800738
1718.0,656,269.613537
2095.0,750,279.286006
1726.0,637,287.596713
1374.0,646,295.858006
1661.0,710,305.617566
2886.0,1074,319.522492
1470.0,632,327.773717
1388.0,650,336.257211
1541.0,619,344.645511
949.0,467,350.623872
1492.0,681,359.454173
1885.0,665,368.197914
2203.0,796,378.509302
1201.0,2864,416.474945
1878.0,652,425.100594
1878.0,663,433.579612
1906.0,670,442.350154
1702.0,625,450.444406
944.0,472,456.738696
1709.0,625,465.179948
943.0,447,470.728451
1865.0,682,479.704191
1599.0,612,487.945874
1402.0,536,495.086564
1562.0,777,505.094942
2480.0,840,516.405318
1749.0,903,528.230752
1959.0,888,539.683052
976.0,456,545.88568
1742.0,593,553.507688
1724.0,622,561.82302
929.0,434,567.51799
1753.0,5066,633.469721
1079.0,492,640.052407
1778.0,664,648.599455
2071.0,1883,673.364723
977.0,415,678.476925
2598.0,674,686.960559
1497.0,626,694.868875
1130.0,540,701.694735
2447.0,1945,727.005385
1727.0,724,736.125497
1338.0,541,743.154037
2155.0,683,751.97289
956.0,452,757.414514
1328.0,542,764.622925
918.0,493,770.670053
1953.0,887,782.367477
1895.0,793,792.779598
2319.0,947,804.807439
2351.0,892,816.192711
2297.0,774,826.035276
980.0,539,832.915254
2188.0,633,841.174837
947.0,479,847.500756
1101.0,2709,881.984734
2783.0,993,895.198325
1991.0,2389,925.589373
542.0,393,930.930237
520.0,426,936.407788
554.0,407,941.555122
2635.0,1420,959.916818
1406.0,697,969.261997
958.0,420,974.638169
1789.0,663,983.233151
1382.0,842,994.344207
958.0,447,999.901463
983.0,581,1007.706432
927.0,508,1014.56522
1359.0,667,1022.976882
1691.0,687,1031.841836
1539.0,631,1040.146346
2223.0,805,1050.454631
946.0,469,1056.660575
1595.0,636,1065.045574
1919.0,769,1074.757457
2263.0,797,1084.890621
2400.0,1082,1099.087828
1360.0,631,1107.020103
1874.0,649,1115.481672
2244.0,739,1125.176353
562.0,390,1130.095483
1386.0,570,1137.214825
2334.0,860,1148.536223
1437.0,676,1157.200344
2053.0,619,1164.997493
954.0,441,1170.513988
570.0,376,1175.418768
578.0,367,1180.017041
1472.0,678,1188.532645
1971.0,837,1199.81781
2048.0,755,1209.904567
564.0,374,1214.729774
965.0,439,1220.330161
1672.0,647,1228.605476
960.0,445,1234.326047
3312.0,1838,1257.877517
1510.0,700,1267.070708
2668.0,1800,1290.680454
1506.0,737,1299.720084
571.0,377,1304.543839
931.0,500,1310.989495
1385.0,665,1319.533431
1334.0,559,1326.873611
1314.0,581,1334.502851
1914.0,687,1343.672698
1385.0,557,1350.63019
1767.0,628,1358.598446
1391.0,778,1368.739695
594.0,355,1373.41172
1715.0,928,1385.316786
1729.0,742,1394.675081
1457.0,686,1403.238122
1742.0,652,1411.857218
1354.0,491,1418.053585
2870.0,950,1430.578194
1475.0,622,1438.212976
3123.0,1164,1453.590106
943.0,450,1459.021583
1959.0,843,1469.965215
1469.0,685,1478.649004
1463.0,524,1485.388969
562.0,374,1490.188212
2455.0,949,1502.214675
1798.0,614,1510.521834
1362.0,744,1520.295487
2599.0,1061,1533.858993
1522.0,662,1542.218157
1151.0,522,1549.153191
2063.0,646,1557.550037
1380.0,1791,1580.359031
526.0,396,1585.380095
1575.0,1084,1599.378147
1946.0,833,1610.191306
1772.0,852,1620.671652
943.0,478,1626.694539
1059.0,479,1632.834184
1680.0,710,1641.531063
2611.0,835,1652.399031
1456.0,559,1659.364762
1684.0,662,1667.652822
1781.0,641,1675.890115
2313.0,796,1686.486851
541.0,384,1691.335395
1390.0,579,1698.447438
1069.0,512,1705.137968
1858.0,683,1713.859428
1471.0,633,1721.862378
1438.0,589,1729.565602
2847.0,949,1741.374612
1453.0,657,1749.915844
942.0,466,1755.588626
2249.0,1092,1769.777937
1912.0,695,1778.505237
1441.0,640,1786.689091
942.0,491,1793.002244
561.0,381,1797.839219
2504.0,886,1809.290726
1336.0,562,1816.186628
1438.0,536,1823.320842
2196.0,820,1833.980892
1382.0,743,1843.40065
1752.0,557,1850.243666
1412.0,559,1857.199345
1580.0,626,1865.156838
1528.0,598,1872.8783
557.0,380,1877.672542
1091.0,606,1885.658013
1977.0,783,1895.582736
1386.0,553,1902.615446
976.0,550,1909.671952
556.0,384,1914.520202
550.0,386,1919.539254
563.0,379,1924.439264
1043.0,524,1931.04653
1978.0,740,1940.64748
933.0,485,1947.084101
1446.0,628,1955.248837
552.0,380,1960.175379
1374.0,617,1968.277795
2320.0,858,1979.061988
1144.0,627,1987.288967
942.0,459,1993.475021
2033.0,893,2004.949696
1834.0,898,2016.361215
1796.0,732,2025.858293
530.0,396,2030.828516
2343.0,773,2040.785726
1354.0,603,2048.224863
1956.0,751,2057.813782
1766.0,642,2065.98796
3007.0,946,2078.110073
3050.0,1081,2092.091712
1951.0,843,2102.922354
562.0,375,2107.641381
2896.0,993,2120.055509
1351.0,605,2127.822756
1761.0,744,2137.843189
553.0,380,2142.632497
957.0,459,2148.636376
2503.0,910,2160.280735
1297.0,570,2167.353314
2060.0,749,2177.252446
1871.0,717,2186.485106
