# {"t_start": 1592852768.8325324, "env_id": null} 
r,l,t
2412.0,3902,54.005994
1522.0,775,63.937437
1776.0,854,74.828018
2563.0,1183,90.359824
1682.0,964,102.312703
2036.0,1002,115.03132
1505.0,618,123.120458
2293.0,1052,136.646073
2170.0,820,147.560275
2429.0,880,159.083436
1793.0,674,167.853447
3202.0,5241,235.435833
1670.0,801,246.035157
1793.0,711,255.368822
1772.0,778,265.676957
1361.0,738,275.598399
1512.0,635,283.368216
1145.0,587,291.049239
1803.0,2935,329.738375
997.0,539,336.635964
2409.0,2402,368.254262
1268.0,580,375.600191
1750.0,708,385.141424
2256.0,922,397.196596
1733.0,617,405.508379
1521.0,554,412.588905
1357.0,490,419.161445
1469.0,511,425.935138
1359.0,528,432.604325
1389.0,573,440.362587
1915.0,714,449.351942
1434.0,580,457.151972
1098.0,568,464.691177
1350.0,504,471.155047
1881.0,653,479.832623
1877.0,786,490.595191
1353.0,627,498.577525
2630.0,939,511.16652
2137.0,661,519.854206
1615.0,716,529.293498
1695.0,776,539.300954
980.0,554,546.523784
2130.0,720,556.105745
1531.0,660,564.956699
959.0,390,570.06037
1753.0,657,578.783672
2199.0,761,588.744836
1603.0,548,595.806404
1773.0,608,603.643596
1921.0,741,613.360363
2061.0,793,623.524288
1080.0,489,629.876101
1714.0,531,636.705097
1735.0,578,644.190472
3594.0,978,657.002595
1540.0,646,665.387158
1611.0,584,673.277915
1374.0,509,679.63713
598.0,361,684.020534
2594.0,3177,724.716646
942.0,457,730.730183
551.0,389,735.691752
2802.0,818,746.204119
1468.0,628,754.11096
2301.0,919,765.75461
1444.0,592,773.479751
1716.0,624,781.761294
1465.0,578,789.035306
1286.0,866,800.322841
946.0,505,806.673469
1301.0,555,813.70327
1363.0,617,821.572644
954.0,1115,835.983383
1511.0,612,844.114465
562.0,377,848.929463
1692.0,579,856.216712
2693.0,800,866.130069
1781.0,724,875.672096
2447.0,904,887.216362
1736.0,754,897.313886
538.0,716,906.723449
1141.0,993,918.960701
1052.0,807,929.583889
558.0,441,935.19612
960.0,526,941.937062
1367.0,1093,956.231954
943.0,491,962.676848
2225.0,858,973.702637
1369.0,539,980.609929
570.0,396,986.107663
1351.0,535,993.047071
