# {"t_start": 1592852768.8896754, "env_id": null} 
r,l,t
1945.0,3584,49.662217
2068.0,1271,66.051292
4157.0,1453,85.168944
1342.0,645,93.360174
2552.0,1028,106.271532
2284.0,1099,120.134662
1673.0,707,129.298261
1834.0,1118,144.07728
2439.0,878,155.557615
2598.0,945,167.829851
1365.0,736,177.298917
3540.0,4401,233.990675
1782.0,865,245.592344
1340.0,544,252.570748
1352.0,915,264.596002
1469.0,634,273.082532
1681.0,755,282.790577
1013.0,600,290.624299
1359.0,522,297.361078
1392.0,652,306.115509
3152.0,1319,323.280799
1367.0,584,331.014378
2202.0,3055,371.091338
1916.0,687,380.010393
2090.0,1774,403.584561
563.0,378,408.524077
2356.0,895,420.309001
982.0,431,425.896849
1625.0,540,432.71225
1694.0,622,440.984552
1149.0,563,448.444087
1473.0,588,455.954236
1355.0,528,463.046889
561.0,381,467.912102
1789.0,682,477.131176
2697.0,909,489.246481
2144.0,665,497.973014
1345.0,511,504.542834
1856.0,705,514.105182
1387.0,610,521.895731
1553.0,2861,559.584308
1563.0,625,568.009231
2921.0,860,579.241144
1329.0,596,587.162043
2158.0,812,597.594757
2075.0,680,606.423333
1616.0,2816,643.044908
1829.0,591,650.550532
2423.0,3008,689.506666
1713.0,740,698.566004
960.0,428,704.312316
1772.0,678,712.986445
972.0,522,719.596942
1403.0,502,726.113754
2686.0,2013,752.083857
1371.0,575,759.14963
565.0,378,763.982981
1746.0,674,772.89436
1313.0,583,780.488061
2298.0,890,791.903239
1520.0,707,801.224478
1384.0,605,808.646675
2689.0,1102,822.813824
939.0,474,828.95325
2732.0,985,841.512005
1806.0,637,849.783811
2863.0,989,862.323941
1729.0,647,870.707913
927.0,484,876.994394
2490.0,982,889.397336
1626.0,840,900.68183
542.0,491,907.084406
439.0,477,913.086643
505.0,455,918.702255
494.0,434,924.570148
1771.0,875,935.583156
947.0,517,942.222135
552.0,392,947.325963
957.0,483,953.691256
560.0,383,958.55092
2023.0,877,970.17362
2600.0,888,981.626604
2402.0,1428,1000.178362
2585.0,938,1012.76084
2444.0,955,1024.939086
1614.0,754,1034.866494
3773.0,995,1048.038814
1360.0,625,1056.079234
1989.0,898,1067.807645
1370.0,677,1076.286976
1782.0,674,1084.813868
1809.0,635,1093.154738
2605.0,1111,1107.276737
2384.0,739,1116.995227
1475.0,556,1124.114812
