# {"t_start": 1592852768.8661826, "env_id": null} 
r,l,t
1187.0,2834,40.257324
1082.0,951,52.432995
1313.0,642,60.72954
2003.0,888,71.96452
1547.0,2915,109.514127
1989.0,823,119.862616
954.0,437,125.671208
1996.0,1052,139.360783
1362.0,743,149.008514
2681.0,3185,190.365551
1491.0,608,197.943798
1568.0,1049,211.394731
2121.0,1019,224.480646
1395.0,929,236.926369
3436.0,2478,269.576978
2205.0,988,282.430937
1508.0,657,290.835758
2595.0,906,302.803615
3230.0,1318,320.023902
1754.0,683,329.160632
1484.0,702,338.239392
1364.0,661,346.896324
956.0,461,352.9291
2364.0,846,363.851333
1361.0,618,371.998048
1353.0,751,382.05779
2155.0,831,392.94371
2979.0,910,405.131661
969.0,450,410.853111
1347.0,487,417.236898
2609.0,725,426.971503
932.0,426,432.281675
1539.0,605,440.370067
1752.0,714,449.359255
1791.0,588,457.251553
977.0,448,463.196877
1799.0,560,470.582862
977.0,461,476.523151
2413.0,810,487.563546
970.0,472,493.711897
2036.0,833,504.5624
1880.0,751,514.640191
2290.0,723,524.34145
1667.0,3024,563.83996
1401.0,654,572.311416
1330.0,537,579.562855
1355.0,483,585.931004
958.0,503,592.591288
599.0,363,597.311298
1041.0,1001,610.198012
1364.0,512,616.965944
2143.0,711,625.777799
957.0,444,631.736039
920.0,456,637.501793
1946.0,666,646.509251
2584.0,820,657.029952
1870.0,626,665.180381
1383.0,576,672.661964
1886.0,681,681.496223
943.0,475,687.300974
1335.0,503,693.653049
2298.0,817,704.276473
977.0,458,710.025973
1708.0,543,717.250456
1485.0,611,724.873081
990.0,436,730.666612
1376.0,564,737.795602
2393.0,745,747.514992
2045.0,708,756.139938
1383.0,665,764.925559
1495.0,627,773.006906
1656.0,700,782.119409
2158.0,777,792.061026
1064.0,644,800.441811
2270.0,918,812.026866
1468.0,693,820.984013
1601.0,585,828.271942
1358.0,628,836.419203
975.0,450,842.513452
1348.0,585,849.872666
1523.0,604,857.605139
2291.0,2088,884.095181
1346.0,530,891.082555
1975.0,1783,914.163375
532.0,444,919.978146
1011.0,928,931.907453
930.0,596,939.708255
1080.0,874,951.213872
1138.0,524,957.844221
1915.0,1026,971.299353
2454.0,894,982.911627
2479.0,1460,1001.793664
928.0,499,1008.359395
1377.0,698,1017.48139
1374.0,678,1026.323033
1074.0,565,1033.588196
2200.0,846,1044.889215
1931.0,849,1055.606636
1698.0,917,1067.851725
1455.0,684,1076.401106
1407.0,635,1084.521269
2727.0,851,1095.742947
1311.0,552,1102.540907
1376.0,578,1109.802571
1933.0,741,1119.43878
1618.0,682,1128.15952
952.0,475,1134.336813
1466.0,665,1142.864625
1483.0,552,1150.342458
1890.0,637,1158.565298
2179.0,675,1167.005686
1457.0,732,1176.490781
1520.0,679,1184.943317
2304.0,827,1195.417504
960.0,441,1201.642862
2022.0,643,1210.144769
965.0,427,1215.564873
581.0,367,1220.366675
958.0,541,1227.211493
2309.0,710,1236.381888
1892.0,700,1245.098802
2337.0,1183,1260.624331
1518.0,697,1269.601491
1361.0,826,1280.3556
1367.0,540,1287.616096
1730.0,1111,1301.531911
1329.0,542,1308.733608
1355.0,515,1315.375949
