# {"t_start": 1593250724.96176, "env_id": null} 
r,l,t
1993.0,5857,59.021094
1497.0,978,68.167467
1070.0,587,73.656511
1404.0,548,78.792211
612.0,348,82.055619
1006.0,920,90.791577
612.0,348,94.039909
612.0,348,97.279114
608.0,348,100.502243
607.0,349,103.786801
601.0,359,107.168447
605.0,380,110.716679
597.0,419,114.575714
606.0,359,117.995619
607.0,354,121.344004
594.0,353,124.694446
1128.0,805,132.224943
606.0,354,135.541353
601.0,360,138.89513
1115.0,615,144.625057
604.0,355,147.903031
978.0,437,151.957686
612.0,348,155.186223
612.0,348,158.435753
610.0,348,161.660075
605.0,354,164.968025
1016.0,531,169.928341
1006.0,614,175.689414
576.0,422,179.687605
1375.0,544,184.808241
606.0,349,188.087785
1763.0,564,193.369262
1397.0,547,198.525084
2180.0,760,205.724793
1390.0,571,211.084477
608.0,353,214.399039
611.0,348,217.63048
972.0,462,221.91783
1902.0,795,229.330585
1513.0,762,236.439477
611.0,348,239.719005
581.0,369,243.149783
601.0,353,246.438493
1185.0,479,250.903207
609.0,348,254.132969
968.0,504,258.908737
605.0,357,262.221258
605.0,349,265.487514
605.0,353,268.833179
942.0,468,273.172661
588.0,365,276.534644
603.0,354,279.904578
608.0,348,283.142895
605.0,354,286.469789
967.0,543,291.541899
607.0,348,294.795085
1637.0,1381,307.753582
954.0,460,312.097162
2066.0,644,318.119981
595.0,365,321.618882
1544.0,846,329.948046
1390.0,569,335.360641
554.0,380,338.923316
1383.0,821,346.617678
547.0,391,350.270488
552.0,386,353.849213
943.0,595,359.453819
574.0,390,363.128137
1350.0,708,369.824094
1398.0,618,375.553569
949.0,2405,398.340682
1099.0,710,404.959978
567.0,375,408.439478
974.0,657,414.563766
559.0,390,418.173549
930.0,576,423.562187
925.0,531,428.578535
1059.0,550,433.743199
552.0,416,437.677898
556.0,380,441.318858
559.0,378,444.898815
926.0,554,450.111239
580.0,368,453.553952
558.0,379,457.083761
944.0,504,461.81353
2198.0,1001,471.175056
1174.0,629,477.064914
1547.0,695,483.572397
1384.0,534,488.532547
1384.0,733,495.416165
956.0,544,500.555414
973.0,558,505.798584
1392.0,603,511.413619
567.0,376,514.977367
1314.0,655,521.145376
592.0,362,524.558584
598.0,353,527.911458
587.0,359,531.272089
1620.0,666,537.4884
1379.0,518,542.336389
599.0,354,545.648981
1679.0,1891,563.295113
1547.0,814,570.904117
1070.0,656,577.04937
573.0,399,580.792659
1345.0,511,585.513628
981.0,414,589.388687
961.0,425,593.376102
1547.0,615,599.170625
922.0,497,603.847351
1885.0,776,611.163888
1914.0,748,618.26756
556.0,388,621.922669
552.0,381,625.513
1383.0,767,632.811616
552.0,382,636.595139
1372.0,705,643.492545
944.0,500,648.248051
978.0,559,653.472531
554.0,381,657.078321
908.0,564,662.325229
553.0,380,665.901883
542.0,385,669.538046
1399.0,676,675.902545
2351.0,3479,708.937054
571.0,374,712.485106
1676.0,670,718.767106
2607.0,796,726.273411
1356.0,594,731.810653
994.0,440,735.955023
944.0,566,741.281937
915.0,504,746.040942
1080.0,534,751.054549
1706.0,1615,766.271561
935.0,463,770.669323
941.0,448,774.830568
564.0,378,778.375948
957.0,532,783.391011
544.0,386,787.026563
554.0,385,790.571837
543.0,386,794.236112
955.0,517,799.076783
937.0,585,804.534202
929.0,509,809.319155
548.0,379,812.878563
554.0,382,816.437863
555.0,385,820.062115
566.0,378,823.586102
940.0,440,827.737355
557.0,401,831.536055
569.0,386,835.160754
563.0,373,838.658079
552.0,383,842.272162
1955.0,791,849.799707
1385.0,602,855.487909
1401.0,838,863.372777
1783.0,727,870.183757
915.0,444,874.378724
1392.0,561,879.644703
1442.0,737,886.557156
571.0,379,890.107357
1323.0,590,895.656399
1795.0,723,902.518443
566.0,375,906.019809
1121.0,559,911.300815
1313.0,587,916.792982
1330.0,645,922.949933
576.0,373,926.503728
564.0,372,930.056886
938.0,444,934.240643
1604.0,587,939.766608
1151.0,547,945.101331
1901.0,686,951.873197
1113.0,474,956.325937
975.0,455,960.575006
968.0,464,964.93985
580.0,362,968.342796
974.0,529,973.282393
1752.0,759,980.416669
1383.0,567,985.809621
2165.0,712,992.515704
1084.0,599,998.100104
980.0,439,1002.395174
1392.0,540,1007.56024
