# {"t_start": 1593250725.0389955, "env_id": null} 
r,l,t
1116.0,5722,57.675124
1616.0,712,64.335146
1380.0,641,70.324521
1752.0,863,78.415992
609.0,349,81.686758
593.0,348,85.043201
612.0,348,88.351894
612.0,348,91.599817
608.0,348,94.82815
612.0,348,98.074874
603.0,354,101.368789
609.0,355,104.702546
1335.0,604,110.358726
1104.0,658,116.503994
1403.0,963,125.617993
603.0,354,128.934811
608.0,349,132.190443
604.0,348,135.451555
609.0,350,138.71351
979.0,454,142.959232
608.0,348,146.15683
612.0,348,149.378737
604.0,353,152.652729
609.0,353,155.952307
607.0,353,159.229949
604.0,354,162.504866
1515.0,671,168.805889
608.0,364,172.177063
608.0,354,175.522187
1799.0,931,184.316778
1352.0,679,190.686879
1104.0,507,195.412652
978.0,464,199.823446
978.0,458,204.163265
2165.0,801,211.687834
1540.0,828,219.433073
611.0,357,222.725509
963.0,422,226.649909
1342.0,524,231.555181
984.0,480,236.021258
991.0,505,240.752264
990.0,474,245.160776
963.0,472,249.588337
612.0,348,252.811508
2127.0,908,261.357541
1768.0,653,267.475465
982.0,431,271.49185
601.0,353,274.75117
1177.0,600,280.407536
606.0,348,283.634777
602.0,355,286.986773
1001.0,437,291.065857
1772.0,742,298.020767
2426.0,869,306.167026
1610.0,624,312.036829
969.0,424,315.984321
960.0,428,319.998836
958.0,463,324.597528
537.0,447,328.980867
1747.0,864,337.191483
1741.0,886,345.496703
552.0,385,349.120114
553.0,380,352.628415
554.0,381,356.162861
556.0,385,359.830803
575.0,371,363.328969
602.0,357,366.744536
580.0,361,370.099731
565.0,380,373.617652
1392.0,508,378.415262
588.0,360,381.767817
1069.0,535,386.795803
559.0,390,390.54942
1380.0,736,397.546555
555.0,380,401.119727
551.0,387,404.725505
558.0,385,408.29576
569.0,374,411.770028
566.0,374,415.235263
1156.0,752,422.266741
955.0,1701,438.305545
957.0,499,443.068912
565.0,374,446.584754
562.0,378,450.144929
557.0,380,453.70217
962.0,482,458.204624
551.0,381,461.775837
976.0,494,466.388275
1172.0,610,472.114651
582.0,376,475.641905
975.0,511,480.380107
575.0,364,483.808434
606.0,354,487.097439
989.0,604,492.759802
1530.0,677,499.125374
953.0,466,503.521472
579.0,373,507.01785
