% time spent exploring,episodes,mean 100 episode reward,steps
2,10900,-103.5,1488578
2,11000,-104.4,1499018
2,11100,-102.0,1509214
2,11200,-107.0,1519917
2,11300,-103.4,1530257
2,11400,-103.6,1540620
2,11500,-102.0,1550822
2,11600,-103.8,1561199
2,11700,-102.1,1571407
2,11800,-102.6,1581665
2,11900,-102.8,1591940
2,12000,-102.2,1602159
2,12100,-102.3,1612390
2,12200,-103.4,1622731
2,12300,-101.9,1632922
2,12400,-102.6,1643179
2,12500,-101.9,1653366
2,12600,-108.1,1664179
2,12700,-103.1,1674493
2,12800,-102.8,1684778
2,12900,-100.8,1694856
2,13000,-101.3,1704984
2,13100,-103.2,1715303
2,13200,-104.3,1725733
2,13300,-102.3,1735960
2,13400,-107.7,1746733
2,13500,-106.9,1757422
2,13600,-105.1,1767935
2,13700,-102.7,1778201
2,13800,-101.9,1788391
2,13900,-102.5,1798637
2,14000,-105.0,1809133
2,14100,-107.1,1819844
2,14200,-104.8,1830323
2,14300,-101.3,1840454
2,14400,-104.7,1850927
2,14500,-102.8,1861206
2,14600,-103.6,1871567
2,14700,-108.1,1882381
2,14800,-102.7,1892648
2,14900,-103.3,1902977
2,15000,-100.9,1913071
2,15100,-101.4,1923207
2,15200,-102.3,1933435
2,15300,-108.4,1944274
2,15400,-101.4,1954416
2,15500,-104.8,1964891
2,15600,-102.4,1975126
2,15700,-103.2,1985448
2,15800,-104.8,1995924
2,15900,-104.0,2006319
2,16000,-102.7,2016591
2,16100,-105.5,2027143
2,16200,-103.2,2037459
2,16300,-102.2,2047678
2,16400,-100.8,2057756
2,16500,-101.3,2067890
2,16600,-102.9,2078176
2,16700,-107.1,2088884
2,16800,-103.0,2099181
2,16900,-104.3,2109612
2,17000,-105.3,2120142
2,17100,-102.0,2130343
2,17200,-103.7,2140714
2,17300,-101.6,2150876
2,17400,-101.7,2161047
2,17500,-101.4,2171187
2,17600,-102.0,2181386
2,17700,-104.8,2191861
2,17800,-104.2,2202286
2,17900,-101.3,2212418
2,18000,-100.6,2222478
2,18100,-104.7,2232951
2,18200,-101.3,2243085
2,18300,-102.5,2253339
2,18400,-102.1,2263550
2,18500,-102.3,2273779
2,18600,-101.6,2283940
2,18700,-106.8,2294617
2,18800,-102.2,2304835
2,18900,-103.0,2315133
2,19000,-102.4,2325370
2,19100,-102.7,2335643
2,19200,-100.7,2345716
2,19300,-100.9,2355809
2,19400,-109.6,2366772
2,19500,-104.1,2377185
2,19600,-103.2,2387509
2,19700,-102.3,2397735
2,19800,-102.8,2408013
2,19900,-101.6,2418175
2,20000,-102.5,2428421
2,20100,-109.2,2439343
2,20200,-110.4,2450385
2,20300,-104.0,2460790
2,20400,-104.1,2471198
2,20500,-104.0,2481601
2,20600,-102.5,2491855
