% time spent exploring,episodes,mean 100 episode reward,steps
92,100,-200.0,19799
84,200,-200.0,39799
76,300,-200.0,59799
68,400,-200.0,79799
60,500,-200.0,99799
53,600,-200.0,119799
45,700,-200.0,139799
37,800,-200.0,159799
29,900,-200.0,179799
21,1000,-200.0,199799
13,1100,-200.0,219799
6,1200,-199.4,239738
2,1300,-185.9,258331
2,1400,-129.3,271263
2,1500,-112.9,282552
2,1600,-123.1,294861
2,1700,-107.5,305608
2,1800,-109.6,316572
2,1900,-176.0,334171
2,2000,-184.0,352569
2,2100,-158.8,368452
2,2200,-199.3,388384
2,2300,-200.0,408384
2,2400,-200.0,428384
2,2500,-200.0,448384
2,2600,-200.0,468384
2,2700,-195.9,487974
2,2800,-152.8,503255
2,2900,-199.0,523151
2,3000,-200.0,543151
2,3100,-200.0,563151
2,3200,-200.0,583151
2,3300,-200.0,603151
2,3400,-200.0,623151
2,3500,-199.7,643124
2,3600,-199.8,663108
2,3700,-200.0,683108
2,3800,-198.6,702970
2,3900,-190.4,722015
2,4000,-141.0,736118
2,4100,-169.5,753072
2,4200,-179.7,771042
2,4300,-114.7,782508
2,4400,-114.5,793955
2,4500,-116.0,805558
2,4600,-118.3,817390
2,4700,-108.6,828254
2,4800,-103.2,838579
2,4900,-110.5,849625
2,5000,-105.9,860218
2,5100,-110.9,871310
2,5200,-106.9,882003
2,5300,-107.7,892774
2,5400,-105.2,903289
2,5500,-109.0,914186
2,5600,-106.6,924842
2,5700,-113.7,936212
2,5800,-114.7,947683
2,5900,-112.5,958936
2,6000,-115.9,970526
2,6100,-107.0,981226
2,6200,-108.2,992042
2,6300,-110.4,1003078
2,6400,-115.8,1014658
2,6500,-107.3,1025390
2,6600,-105.9,1035976
2,6700,-105.4,1046520
2,6800,-107.1,1057231
2,6900,-114.0,1068627
2,7000,-106.1,1079240
2,7100,-104.7,1089712
2,7200,-105.9,1100299
2,7300,-107.3,1111029
2,7400,-104.7,1121501
2,7500,-110.0,1132497
2,7600,-106.4,1143139
2,7700,-109.9,1154127
2,7800,-104.4,1164564
2,7900,-105.6,1175126
2,8000,-107.3,1185858
2,8100,-115.7,1197430
2,8200,-103.6,1207794
2,8300,-101.0,1217890
2,8400,-105.6,1228454
2,8500,-104.2,1238869
2,8600,-102.6,1249128
2,8700,-110.3,1260160
2,8800,-101.7,1270326
2,8900,-105.0,1280831
2,9000,-103.8,1291215
2,9100,-102.8,1301499
2,9200,-102.8,1311775
2,9300,-105.0,1322273
2,9400,-101.5,1332425
2,9500,-103.6,1342790
2,9600,-104.3,1353221
2,9700,-105.6,1363782
2,9800,-105.4,1374321
2,9900,-104.1,1384727
2,10000,-103.8,1395112
2,10100,-104.4,1405554
2,10200,-104.6,1416010
2,10300,-105.4,1426553
2,10400,-102.9,1436845
2,10500,-104.0,1447247
2,10600,-102.2,1457462
2,10700,-102.9,1467751
2,10800,-104.8,1478226
