eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
999.0,-5.206310639999999,-0.010108470916748047,443,28200,-0.04921281337738037,141000,0.0014128050534054637
999.0,-5.206310639999999,-0.19913017749786377,443,28300,-0.05311095714569092,141500,8.892930782167241e-05
999.0,-5.204158970000001,-0.0171128511428833,443,28400,-0.047123074531555176,142000,0.0001246550091309473
999.0,-5.204158970000001,0.128553569316864,443,28500,-0.05235612392425537,142500,4.1786122892517596e-05
999.0,-5.216125260000001,-0.004405498504638672,443,28600,-0.062453389167785645,143000,5.6055578170344234e-05
999.0,-5.216125260000001,-0.1014096736907959,443,28700,-0.050305724143981934,143500,0.00031811321969144046
999.0,-5.20231673,-0.08699047565460205,443,28800,-0.03699696063995361,144000,9.1427871666383e-05
999.0,-5.20231673,-0.021930575370788574,443,28900,-0.041496872901916504,144500,5.6344382755924016e-05
999.0,-5.200790519999999,0.02273005247116089,443,29000,-0.030754923820495605,145000,2.674795723578427e-05
999.0,-5.200790519999999,-0.049207091331481934,443,29100,-0.03325796127319336,145500,7.330036896746606e-05
999.0,-5.1979777899999995,0.06600910425186157,443,29200,-0.0321660041809082,146000,1.767582944012247e-05
999.0,-5.1979777899999995,0.0060228705406188965,443,29300,-0.040457963943481445,146500,0.0001189264003187418
999.0,-5.20258494,0.005731701850891113,443,29400,-0.04215371608734131,147000,6.14094315096736e-05
999.0,-5.20258494,-0.016254425048828125,443,29500,-0.04022860527038574,147500,0.00018030617502517998
999.0,-5.202023650000001,0.0022133588790893555,443,29600,-0.0333249568939209,148000,0.00018011839711107314
999.0,-5.202023650000001,0.012238919734954834,443,29700,-0.04099750518798828,148500,0.0005668752128258348
999.0,-5.205922370000001,-0.010541081428527832,443,29800,-0.042664527893066406,149000,3.654252577689476e-05
999.0,-5.205922370000001,0.001283407211303711,443,29900,-0.04233360290527344,149500,5.362253432394937e-05
999.0,-5.204068189999999,0.005543231964111328,443,30000,-0.04104161262512207,150000,0.0013148414436727762
999.0,-5.204068189999999,0.014475703239440918,443,30100,-0.04983663558959961,150500,0.00013640908582601696
999.0,-5.20985943,-0.016054630279541016,443,30200,-0.04602193832397461,151000,0.00020659551955759525
999.0,-5.20985943,0.004257023334503174,443,30300,-0.05683398246765137,151500,6.130705878604203e-05
999.0,-5.21457917,0.013760089874267578,443,30400,-0.06261038780212402,152000,7.853213901398703e-06
999.0,-5.21457917,-0.014925003051757812,443,30500,-0.05639457702636719,152500,0.0004680862766690552
999.0,-5.21072767,-0.08784472942352295,443,30600,-0.06669330596923828,153000,3.4150325518567115e-05
999.0,-5.21072767,-0.07255029678344727,443,30700,-0.05870342254638672,153500,0.00019791311933659017
999.0,-5.20660329,0.005063056945800781,443,30800,-0.059812188148498535,154000,0.0006055153789930046
999.0,-5.20660329,0.055199503898620605,443,30900,-0.06779599189758301,154500,1.4872118299535941e-05
999.0,-5.20440678,0.09122705459594727,442,31000,-0.07223045825958252,155000,2.0757870515808463e-05
999.0,-5.20440678,0.07072305679321289,442,31100,-0.08366024494171143,155500,0.00010356811981182545
999.0,-5.19929127,0.11510586738586426,442,31200,-0.08402633666992188,156000,0.0001034221495501697
999.0,-5.19929127,-0.21727252006530762,442,31300,-0.08520233631134033,156500,2.2240526959649287e-05
999.0,-5.19806222,-0.17021143436431885,442,31400,-0.09488856792449951,157000,1.1273176824033726e-05
999.0,-5.19806222,0.07604897022247314,442,31500,-0.08973073959350586,157500,0.00016051626880653203
999.0,-5.19752188,0.36748838424682617,442,31600,-0.09442305564880371,158000,6.171550194267184e-05
999.0,-5.19752188,0.15883302688598633,442,31700,-0.0867927074432373,158500,0.00015044510655570775
