# {"t_start": 1593427844.3507292, "env_id": null} 
r,l,t
909.0,2827,34.31399
1946.0,1040,45.524929
2214.0,1115,56.891905
2394.0,1201,69.417414
2040.0,3050,101.444121
1298.0,552,107.099473
938.0,416,111.348913
1657.0,753,119.213253
964.0,444,123.953556
2334.0,866,132.660167
1994.0,945,142.604435
1461.0,639,149.228527
2523.0,828,157.598325
1958.0,824,166.224941
1673.0,657,173.032111
2509.0,1074,184.167401
1471.0,540,189.672269
1783.0,714,197.147477
1835.0,661,203.946657
1468.0,627,210.630521
1678.0,600,216.877302
1708.0,740,224.283831
2244.0,737,231.935005
912.0,431,236.572319
1475.0,603,242.608443
3128.0,1107,254.268516
1621.0,608,260.696055
2293.0,831,269.213939
2174.0,685,276.403352
1909.0,642,283.005323
3130.0,1061,293.737801
2448.0,852,302.468672
2012.0,687,309.784036
1891.0,767,317.692448
1781.0,613,324.133074
1475.0,589,330.221353
2060.0,596,336.474614
1386.0,603,342.886599
1709.0,603,348.916294
1943.0,887,357.991898
963.0,463,362.732174
2126.0,927,372.206261
949.0,436,376.866942
2152.0,891,385.983048
1358.0,593,392.317689
485.0,423,396.617424
2188.0,909,406.400474
1344.0,631,412.737371
1487.0,722,420.368136
2813.0,1228,433.104526
1357.0,671,439.976412
1354.0,668,446.672266
1317.0,599,452.957343
1999.0,2965,483.533653
1360.0,843,492.464106
1369.0,695,499.540418
521.0,413,503.837909
1343.0,746,511.59454
1843.0,791,519.747854
2339.0,2899,549.776436
1896.0,905,559.164125
2618.0,1042,569.918572
1123.0,575,575.981589
1773.0,735,583.49402
3718.0,2206,606.358214
874.0,637,612.93707
1783.0,720,620.16388
1630.0,760,628.025746
3393.0,1468,643.729286
3321.0,1984,664.16806
1793.0,764,672.080659
1994.0,716,679.552411
1315.0,720,686.82597
1430.0,621,693.418201
1301.0,539,698.920497
1153.0,664,705.712754
543.0,387,709.889637
1604.0,823,718.168148
509.0,423,722.430017
2137.0,835,731.152036
1450.0,701,738.225091
1480.0,639,744.928431
1329.0,522,750.317145
1804.0,810,758.845336
1914.0,807,767.087106
1888.0,839,775.85415
1870.0,1054,786.56329
1436.0,767,794.552222
1768.0,3527,830.76576
2580.0,974,840.768577
1881.0,961,850.463484
1341.0,662,857.465024
1304.0,577,863.200827
2497.0,867,872.121083
549.0,386,876.086703
884.0,498,881.325052
1773.0,675,888.261346
1060.0,931,897.801912
934.0,457,902.573939
1338.0,745,910.485318
1466.0,695,917.452063
1682.0,962,927.52718
2726.0,3146,959.954749
2162.0,889,969.015922
969.0,408,973.128168
1552.0,692,980.365509
550.0,384,984.273823
1323.0,587,990.232529
962.0,469,995.068119
2274.0,763,1003.176872
1780.0,659,1009.963475
1326.0,494,1015.072874
1761.0,604,1021.369087
579.0,368,1025.122149
1135.0,547,1030.679861
955.0,420,1034.963428
597.0,355,1038.627262
1101.0,475,1043.512015
1399.0,511,1048.717267
1901.0,762,1056.680933
1498.0,616,1062.949389
1371.0,471,1067.937224
1672.0,542,1073.505206
1605.0,525,1078.76822
946.0,401,1083.03772
1004.0,432,1087.408206
1365.0,644,1094.097122
1780.0,531,1099.469113
1553.0,548,1104.992156
1344.0,534,1110.679032
2018.0,578,1116.516071
1351.0,499,1121.636348
983.0,415,1125.81922
1458.0,558,1131.651174
2555.0,773,1139.506001
2138.0,684,1146.509371
1765.0,546,1152.121129
1530.0,619,1158.485182
1637.0,2921,1188.520572
982.0,611,1194.871261
913.0,526,1200.253119
946.0,500,1205.321337
1454.0,723,1212.648567
2135.0,3047,1243.928323
1350.0,541,1249.436692
1521.0,566,1255.486353
939.0,451,1260.074614
1325.0,545,1265.959994
1332.0,536,1271.472349
1951.0,777,1279.572121
2069.0,618,1285.952728
1779.0,768,1293.76334
1595.0,688,1300.720809
1523.0,589,1307.172095
2853.0,741,1314.644095
1618.0,596,1320.888211
1383.0,512,1326.187198
929.0,472,1331.229147
2403.0,977,1341.158645
2028.0,761,1348.992007
3445.0,905,1358.403453
972.0,499,1363.52826
1368.0,518,1368.873063
2175.0,3079,1400.457708
1404.0,494,1405.609734
1675.0,680,1412.936783
1457.0,538,1418.488385
2196.0,734,1425.933099
2166.0,633,1432.442044
3116.0,822,1441.097671
1370.0,505,1446.33134
1622.0,601,1452.428284
2276.0,672,1459.711455
1382.0,516,1464.973161
1060.0,429,1469.381479
1502.0,559,1475.009176
2715.0,810,1483.49649
1539.0,533,1488.976878
2673.0,736,1496.580433
2388.0,689,1503.525753
1005.0,423,1507.769147
1467.0,641,1514.337703
1551.0,638,1520.936957
1408.0,682,1528.012591
950.0,439,1532.353622
1737.0,595,1538.545503
1387.0,580,1544.402106
