# {"t_start": 1593427844.3595223, "env_id": null} 
r,l,t
2164.0,3793,44.668216
1400.0,783,52.669722
1367.0,516,58.057629
3667.0,1231,70.858661
955.0,500,76.114173
952.0,463,80.773259
1734.0,688,88.157432
1141.0,794,96.376523
2472.0,728,104.146517
1355.0,586,110.087635
4247.0,1794,128.692625
2801.0,979,138.872551
1739.0,619,145.337488
2355.0,817,153.648238
3392.0,3591,190.83817
1911.0,711,198.320271
1321.0,584,204.197468
1181.0,2802,233.222719
2430.0,835,242.010459
2014.0,747,249.797972
587.0,360,253.3778
3030.0,1058,264.704612
2799.0,858,273.336943
1923.0,793,281.646422
2324.0,852,290.172949
1804.0,675,297.059265
1332.0,490,302.267138
1376.0,685,309.563546
1766.0,629,316.022728
2869.0,991,326.23771
1739.0,655,333.079128
1835.0,702,340.5487
1365.0,602,346.811579
3154.0,1317,360.194049
1133.0,584,366.003716
1863.0,918,375.710653
1889.0,977,385.763808
1727.0,686,393.136871
1892.0,805,401.447497
1696.0,676,408.481168
921.0,608,414.869298
2628.0,3200,447.780088
1549.0,2900,477.896766
2607.0,1352,491.769333
2410.0,1079,503.160347
980.0,648,509.867351
1872.0,959,519.665266
895.0,526,525.159084
1810.0,766,533.030178
1349.0,591,539.206682
1370.0,639,545.765536
2024.0,850,554.403148
2486.0,922,564.166965
893.0,500,569.406002
2534.0,3151,601.829723
1363.0,737,609.421122
1712.0,884,618.58101
1382.0,674,625.421289
2044.0,969,635.682536
1495.0,701,643.08242
1471.0,726,650.636998
1096.0,695,657.744898
2205.0,834,666.556994
881.0,505,671.802114
2967.0,1017,682.248689
1369.0,631,688.827175
1414.0,679,695.919261
1317.0,744,703.618321
1612.0,667,710.335349
899.0,525,715.696645
1893.0,918,725.030049
1510.0,720,732.559315
1046.0,544,738.060686
2054.0,718,745.668873
1696.0,2904,775.503345
1643.0,804,783.879341
1620.0,779,791.936998
1352.0,795,800.095842
2373.0,950,809.799533
2479.0,1634,826.710972
1762.0,760,834.453156
1700.0,2948,864.533166
551.0,389,868.498974
1421.0,642,875.091923
1461.0,669,882.037038
2742.0,3525,918.599291
2239.0,1083,929.638808
2270.0,3041,961.20022
1376.0,575,967.148344
926.0,471,971.823089
966.0,449,976.516202
2425.0,847,985.040285
959.0,491,990.181057
965.0,479,995.102413
1390.0,522,1000.696426
1767.0,615,1007.024004
2174.0,732,1014.723267
1397.0,586,1020.606243
1982.0,572,1026.530103
604.0,354,1030.004115
989.0,411,1034.468632
937.0,469,1039.066112
1372.0,517,1044.301353
1395.0,559,1050.181935
1394.0,571,1056.04033
2287.0,740,1063.874997
2136.0,720,1071.443354
2028.0,3049,1102.41568
2418.0,744,1110.117674
1528.0,570,1116.145291
1134.0,497,1121.248883
956.0,475,1125.924193
2304.0,690,1133.098561
990.0,428,1137.314834
2220.0,856,1146.27305
1512.0,598,1152.311322
1379.0,548,1158.087481
1523.0,546,1163.660498
544.0,393,1167.645199
940.0,442,1172.095717
1460.0,976,1182.1522
1375.0,716,1189.655539
1614.0,841,1198.173766
1913.0,803,1206.523778
2572.0,924,1215.935094
1677.0,645,1222.623089
954.0,428,1226.950203
1756.0,642,1233.579658
1121.0,495,1238.545146
1097.0,544,1244.099941
2165.0,727,1251.609534
1692.0,605,1258.076897
1786.0,775,1266.171102
2215.0,874,1275.251891
2731.0,904,1284.640237
916.0,476,1289.323967
1000.0,515,1294.550935
1382.0,708,1301.957444
2572.0,809,1310.511967
1545.0,585,1316.653573
1945.0,701,1323.782899
1074.0,517,1329.158897
2309.0,771,1337.201905
607.0,367,1340.973042
1109.0,505,1346.168956
957.0,416,1350.380245
1902.0,755,1358.298036
1635.0,783,1366.252094
1474.0,685,1373.406301
1755.0,657,1380.161296
1710.0,615,1386.573603
1541.0,587,1392.503426
1090.0,470,1397.353121
1482.0,621,1403.844033
2852.0,904,1413.250083
1709.0,615,1419.706842
1616.0,491,1424.565339
2510.0,715,1432.065467
1379.0,555,1437.68878
1724.0,558,1443.673078
984.0,397,1447.728748
2014.0,618,1454.264927
1388.0,501,1459.574555
1684.0,599,1465.528753
1099.0,470,1470.531706
998.0,438,1474.900853
1368.0,536,1480.643289
589.0,349,1483.996758
2072.0,723,1491.600067
2425.0,778,1499.508703
2301.0,736,1507.082063
1115.0,534,1512.508959
2485.0,792,1520.648358
1609.0,630,1527.012346
1681.0,669,1533.788027
1404.0,616,1540.172278
978.0,422,1544.450522
2702.0,955,1554.398396
1385.0,638,1561.027485
1512.0,504,1566.282166
1743.0,588,1572.37478
2069.0,698,1579.826671
991.0,416,1584.091809
1409.0,527,1589.480985
1759.0,574,1595.499435
1366.0,514,1600.778885
2622.0,728,1608.255752
1662.0,562,1614.141884
1357.0,562,1619.751142
1399.0,509,1624.977894
2173.0,678,1631.959786
1889.0,608,1638.32554
1906.0,708,1645.71492
2356.0,716,1652.773018
2071.0,602,1659.06644
954.0,441,1663.517936
2166.0,660,1670.464952
1691.0,571,1676.157952
1706.0,683,1683.006786
974.0,431,1687.624669
2140.0,860,1696.459486
1271.0,665,1703.300622
1404.0,663,1710.117782
2162.0,1069,1720.923129
1505.0,721,1728.365886
1072.0,691,1735.26522
1382.0,587,1741.386026
1363.0,768,1749.188533
2489.0,1546,1764.982626
1476.0,1159,1776.780471
576.0,396,1780.798282
1955.0,1409,1795.276505
1042.0,525,1800.538929
2120.0,1140,1812.159815
1453.0,761,1819.972836
2576.0,1319,1833.394019
1520.0,813,1841.966268
2198.0,823,1850.272882
2045.0,762,1858.131658
2369.0,811,1866.400731
1377.0,734,1874.144823
2612.0,828,1883.241256
1760.0,575,1889.344056
1289.0,540,1894.771879
2324.0,707,1902.032859
1942.0,799,1910.122657
2057.0,638,1916.820958
2587.0,695,1924.112301
1534.0,564,1929.713435
1939.0,745,1937.454925
1312.0,524,1942.817401
2335.0,749,1950.752568
2147.0,653,1957.493537
1923.0,597,1963.433429
1544.0,601,1969.658193
1901.0,696,1976.994699
606.0,346,1980.423389
1455.0,525,1985.805219
1537.0,574,1991.656877
1502.0,579,1997.373949
2467.0,749,2004.976241
2518.0,789,2013.062312
995.0,431,2017.50147
1379.0,588,2023.199823
1347.0,502,2028.369913
2297.0,577,2034.475943
1365.0,545,2039.929807
2666.0,693,2046.782212
976.0,430,2051.271317
2584.0,806,2059.306361
1464.0,617,2065.681159
1540.0,528,2071.108392
593.0,353,2074.837414
2623.0,658,2081.380538
1728.0,497,2086.367184
2145.0,644,2092.697523
1921.0,661,2099.366063
2142.0,683,2106.167426
1996.0,605,2112.482116
