# {"t_start": 1593427844.3480124, "env_id": null} 
r,l,t
1603.0,2211,27.374493
3656.0,3541,64.837713
1363.0,728,72.476472
2213.0,1025,83.190695
964.0,555,88.8845
3375.0,1359,103.281187
1392.0,608,109.642971
893.0,509,114.9053
1066.0,470,119.649661
2845.0,1016,130.133037
918.0,467,135.033566
2307.0,1017,145.618471
1364.0,644,152.246278
1704.0,760,160.048652
1781.0,693,167.105768
1920.0,836,175.924055
1528.0,717,183.512588
1089.0,487,188.357224
973.0,464,193.277659
2242.0,674,200.158008
2614.0,856,209.22776
1348.0,601,215.496139
1744.0,609,221.583032
542.0,387,225.495794
1774.0,899,234.825557
1318.0,570,240.816093
950.0,449,245.377651
953.0,469,250.303189
971.0,718,257.885667
1177.0,2778,286.530582
2227.0,819,294.960531
1905.0,687,302.077226
950.0,454,306.918672
1384.0,624,313.37275
1707.0,615,319.516706
1363.0,582,325.792887
942.0,495,331.065586
2136.0,748,338.89473
2435.0,725,346.232803
1354.0,654,352.922771
1582.0,713,360.245529
528.0,395,364.244395
1954.0,871,373.242311
515.0,399,377.355243
545.0,385,381.370042
1360.0,661,388.375372
2236.0,731,396.007972
2734.0,1114,407.764975
1808.0,761,415.439472
1353.0,747,423.307451
2698.0,1018,433.754318
2281.0,862,442.642469
1867.0,801,450.764122
1739.0,780,458.817751
2753.0,1279,472.085407
1067.0,751,479.831033
1868.0,1077,491.192719
1879.0,871,500.018782
1867.0,844,508.924073
2732.0,1096,520.394734
1074.0,1550,536.445431
2586.0,984,546.364271
1489.0,719,553.892652
1845.0,830,562.423466
911.0,570,568.45443
2086.0,1052,579.285493
1343.0,677,586.263081
2278.0,1087,597.567237
1984.0,847,606.367919
2061.0,915,615.812769
2147.0,922,625.171449
1885.0,837,633.768569
2431.0,1221,646.814527
1360.0,675,653.760802
1864.0,726,661.364637
2670.0,1130,673.08937
1071.0,557,678.73585
1365.0,671,685.604344
2342.0,843,694.60605
1120.0,772,702.502354
937.0,487,707.554941
2264.0,899,716.729847
2187.0,885,725.838665
2828.0,1083,736.790599
1439.0,651,743.645019
489.0,415,748.133022
1493.0,669,755.005955
934.0,487,760.015632
3034.0,1202,772.32924
2272.0,1070,783.222709
1674.0,925,792.950818
2735.0,1950,813.04932
1678.0,1112,824.324221
1326.0,594,830.530374
524.0,399,834.544283
1688.0,769,842.408487
1366.0,793,850.448782
920.0,516,855.757883
1870.0,805,864.085152
2597.0,962,873.824113
1371.0,666,880.668913
2854.0,1068,891.912324
2595.0,891,901.130051
897.0,494,906.318963
1974.0,834,914.815242
1382.0,595,921.024196
1157.0,801,929.221803
2206.0,3080,961.100906
1543.0,731,968.602048
1315.0,518,973.858565
962.0,427,978.192093
590.0,365,981.93806
942.0,488,987.012885
891.0,482,992.036942
571.0,380,995.925681
2191.0,762,1003.999343
603.0,354,1007.405597
1589.0,594,1013.695883
2046.0,622,1020.139735
1980.0,654,1026.749879
970.0,401,1030.877176
968.0,446,1035.614354
1173.0,522,1040.900164
2135.0,648,1047.497153
1154.0,507,1052.753081
1698.0,555,1058.477982
1505.0,682,1065.554185
2178.0,734,1073.208706
1361.0,600,1079.332511
1807.0,597,1085.173004
1548.0,587,1091.458838
2431.0,688,1098.441517
923.0,489,1103.459748
2600.0,818,1112.027713
1332.0,484,1116.807844
969.0,419,1121.270771
571.0,370,1124.778455
1451.0,605,1131.05676
963.0,449,1135.722745
2174.0,798,1143.83356
1782.0,639,1150.538989
582.0,371,1154.330278
1388.0,603,1160.646848
584.0,375,1164.26004
1036.0,527,1169.921214
1552.0,531,1175.3126
417.0,526,1180.594382
1067.0,773,1188.578323
525.0,424,1192.867784
962.0,559,1198.797465
1935.0,902,1207.937608
1981.0,814,1216.214656
1873.0,576,1222.060695
603.0,350,1225.753616
2182.0,744,1233.477567
1390.0,579,1239.368527
1796.0,594,1245.338454
1474.0,599,1251.557525
1590.0,2890,1281.562503
983.0,461,1286.428892
1362.0,492,1291.456328
1771.0,789,1299.480217
2123.0,714,1307.228682
1403.0,489,1312.082772
1915.0,734,1319.769018
2126.0,654,1326.491338
1310.0,488,1331.658793
1523.0,544,1337.26924
2204.0,583,1343.327922
2493.0,786,1351.399135
1464.0,634,1358.041134
2135.0,817,1366.271477
586.0,376,1370.219393
898.0,475,1375.059526
2178.0,620,1381.520613
3099.0,834,1389.997201
1387.0,487,1395.017564
1658.0,674,1401.880582
1500.0,549,1407.833767
1456.0,590,1413.825155
1866.0,596,1420.111003
1391.0,505,1425.397296
1750.0,640,1431.969221
2597.0,708,1439.410199
2128.0,711,1446.625173
1350.0,544,1452.242721
1610.0,593,1458.568847
1620.0,591,1464.750192
2204.0,665,1471.628256
592.0,352,1475.299217
1374.0,584,1481.191211
971.0,401,1485.234682
964.0,399,1489.354294
964.0,422,1493.880744
1328.0,491,1498.647413
608.0,348,1502.298319
1487.0,561,1508.164015
1775.0,706,1515.299694
2899.0,863,1524.200487
2187.0,697,1531.17135
2094.0,758,1538.916459
1434.0,621,1545.396392
1764.0,610,1551.704619
3484.0,946,1561.402542
1923.0,615,1567.909512
1768.0,590,1574.30099
1527.0,686,1581.32028
1408.0,591,1587.534497
965.0,437,1591.912191
972.0,416,1596.089326
608.0,348,1599.76557
1377.0,488,1604.928584
2547.0,857,1613.613816
2874.0,707,1620.889202
1736.0,584,1627.017872
1868.0,639,1633.700884
2172.0,723,1640.979541
1928.0,603,1647.196251
2325.0,686,1654.064708
601.0,368,1657.856251
1605.0,611,1664.273766
2128.0,706,1671.322508
1767.0,698,1678.61163
1845.0,643,1685.091008
1377.0,667,1691.867542
2605.0,1177,1703.968267
1653.0,1162,1715.872147
1074.0,747,1723.522481
2353.0,1089,1734.736995
1095.0,630,1741.190515
2058.0,890,1750.242609
1554.0,757,1758.038263
2158.0,3431,1792.960131
2479.0,1392,1807.108381
2685.0,1683,1824.274387
1271.0,609,1830.546582
1048.0,660,1837.293199
1381.0,790,1845.327481
2051.0,882,1854.430323
2899.0,962,1864.454929
1866.0,744,1872.338228
1479.0,701,1879.590055
2701.0,962,1890.232057
2206.0,732,1897.419538
1619.0,536,1903.049013
2448.0,738,1910.379888
3480.0,1402,1924.930312
2757.0,1107,1936.348994
1382.0,730,1943.942386
1514.0,573,1949.837197
1474.0,538,1955.441473
1360.0,510,1960.69
1918.0,758,1968.420629
2312.0,706,1975.794802
1980.0,638,1982.541331
1186.0,465,1987.118706
1865.0,628,1993.290137
989.0,401,1997.387114
604.0,343,2000.877602
584.0,359,2004.609675
970.0,398,2008.656995
1780.0,618,2014.973122
1377.0,547,2020.393583
610.0,348,2023.9447
1898.0,597,2029.888218
964.0,401,2034.260738
2709.0,834,2042.579863
1396.0,491,2047.55115
2195.0,710,2054.56024
2840.0,873,2063.438355
2169.0,695,2070.779559
1767.0,674,2077.651309
1596.0,570,2083.200298
1915.0,839,2091.608152
2935.0,834,2100.15083
1464.0,534,2105.471344
1466.0,539,2110.955832
964.0,422,2115.136954
601.0,348,2118.721196
608.0,354,2122.304421
603.0,349,2125.676328
961.0,522,2131.14574
1351.0,560,2136.676796
1402.0,573,2142.303689
1967.0,724,2149.755728
965.0,405,2153.895225
591.0,359,2157.568098
1772.0,626,2163.991836
603.0,346,2167.566374
964.0,422,2171.726851
1466.0,550,2177.235613
2162.0,713,2184.715009
1165.0,486,2189.978612
1726.0,672,2197.006914
1718.0,652,2203.587157
1810.0,575,2209.331725
1510.0,501,2214.454921
1406.0,489,2219.558919
1884.0,681,2226.484752
2189.0,617,2232.782372
1554.0,556,2238.639873
1403.0,513,2243.939976
1489.0,553,2249.548191
1791.0,602,2255.717268
2203.0,944,2265.251214
1746.0,781,2273.183243
2570.0,700,2280.479907
2125.0,693,2287.389968
1520.0,556,2293.060306
1477.0,548,2298.736949
2068.0,598,2304.558449
2169.0,680,2311.582824
973.0,432,2315.802007
609.0,348,2319.462243
607.0,348,2322.902057
2126.0,590,2328.913391
1358.0,506,2334.074363
1173.0,510,2339.362144
1376.0,480,2344.391261
582.0,356,2347.855666
957.0,639,2354.441538
3221.0,969,2364.512699
1351.0,535,2369.895141
1768.0,610,2376.23983
2157.0,758,2383.947516
1806.0,669,2390.744552
1338.0,630,2397.258857
1448.0,530,2402.557173
2773.0,909,2411.743175
1796.0,587,2417.988662
1430.0,532,2423.361852
1862.0,545,2428.775772
944.0,406,2432.860555
1167.0,537,2438.554872
1770.0,571,2444.223729
2188.0,684,2451.118939
1408.0,495,2456.232479
1113.0,471,2461.079634
1690.0,626,2467.545316
1901.0,643,2474.091733
1410.0,517,2479.410659
1178.0,2705,2507.410364
1811.0,565,2513.399909
1771.0,696,2520.420592
1589.0,565,2526.205649
2332.0,721,2533.572861
2160.0,578,2539.496654
1349.0,470,2544.150378
950.0,438,2548.739293
1769.0,614,2554.735592
1352.0,586,2560.810336
1456.0,644,2567.443478
1534.0,633,2573.882936
1365.0,529,2579.300995
1941.0,668,2586.063383
2624.0,717,2593.559948
2999.0,810,2601.75989
588.0,353,2605.334034
1447.0,607,2611.480644
1532.0,532,2616.806242
2579.0,697,2623.637454
2148.0,704,2630.898375
1351.0,489,2636.01932
2186.0,715,2643.163539
1497.0,543,2648.6215
2482.0,941,2658.256525
2145.0,3022,2688.968932
2292.0,626,2695.456444
2131.0,764,2703.216576
1375.0,602,2709.395883
1373.0,584,2715.436244
2417.0,866,2723.971906
2758.0,877,2732.814516
2381.0,664,2739.47282
1412.0,618,2745.846038
2976.0,712,2753.235621
1558.0,628,2759.649165
1860.0,630,2766.0444
1391.0,580,2771.792268
1370.0,486,2776.743546
1551.0,515,2781.965381
1767.0,608,2788.282954
1630.0,594,2794.154915
1982.0,653,2800.792761
1366.0,515,2806.110522
2204.0,715,2813.75638
1617.0,504,2819.104835
2077.0,675,2825.86458
1832.0,568,2831.94686
1950.0,685,2838.992105
1795.0,672,2845.696005
1122.0,496,2850.674429
1446.0,629,2857.034664
1924.0,696,2864.278912
1770.0,628,2870.519588
1119.0,485,2875.465299
2151.0,3017,2906.178962
1419.0,600,2912.165298
1877.0,724,2919.64829
1780.0,752,2927.372178
1924.0,912,2936.562032
1529.0,575,2942.517024
2483.0,674,2949.425684
2583.0,826,2957.813485
2139.0,3036,2988.850969
1325.0,511,2994.180656
2871.0,889,3003.334786
1370.0,755,3011.004836
2319.0,889,3020.105556
2580.0,3054,3051.406182
3306.0,1120,3062.744746
1456.0,1296,3076.200718
1907.0,740,3083.642456
1336.0,545,3089.413451
2687.0,862,3097.962642
1890.0,720,3105.482759
1738.0,593,3111.66008
1387.0,786,3119.669438
1904.0,702,3126.956503
2254.0,686,3134.116291
1300.0,467,3138.819933
