eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
200.0,-200.0,1585,1.6160777e-05,0.0,0.053273145,-0.00013708399,79.59651,0.15788084268569946,390,798720,440.62883923999993,798720
200.0,-200.0,1578,1.1998567e-06,0.0,0.044361077,-1.702868e-05,89.039505,0.14240425825119019,400,819200,453.19667658699996,819200
200.0,-200.0,2074,5.2057076e-06,0.0,0.053385217,-8.90729e-05,82.201324,0.16526001691818237,410,839680,464.90511895400005,839680
200.0,-200.0,1951,3.0029958e-06,0.0,0.0674263,-4.2298983e-05,82.93048,0.12532538175582886,420,860160,475.163610116,860160
200.0,-200.0,2106,1.1049378e-06,0.0,0.07636865,-1.3803918e-05,86.43895,0.13380461931228638,430,880640,485.3509099339999,880640
200.0,-200.0,1599,1.9709922e-05,0.0,0.1074338,-4.7164183e-05,82.1189,0.130462646484375,440,901120,496.875428544,901120
200.0,-200.0,2106,3.1163354e-06,0.0,0.10157457,1.6983715e-05,87.020805,0.16372501850128174,450,921600,507.649318622,921600
200.0,-200.0,2098,3.9494053e-06,0.0,0.07858786,-0.00010924527,80.732994,0.15939444303512573,460,942080,517.285233606,942080
200.0,-200.0,2108,3.9075632e-05,0.0,0.10040581,-0.00013325998,81.686905,0.13848114013671875,470,962560,527.6799692950001,962560
200.0,-200.0,2123,1.3084877e-05,0.0,0.08378297,-0.0001567629,81.986916,0.18898707628250122,480,983040,537.377123688,983040
200.0,-200.0,2107,1.0481165e-06,0.0,0.0515336,-6.843795e-06,81.22239,0.15647059679031372,490,1003520,547.0420994220001,1003520
200.0,-200.0,2101,2.3855804e-07,0.0,0.078380294,1.5048572e-05,88.59149,0.15286147594451904,500,1024000,556.7470127619999,1024000
200.0,-200.0,2003,1.4371209e-06,0.0,0.08425419,1.4033838e-05,83.6386,0.11676812171936035,510,1044480,566.640127071,1044480
200.0,-200.0,2121,9.2797185e-05,0.0,0.098925255,-1.5667334e-05,81.22777,0.14954209327697754,520,1064960,576.6446420269999,1064960
200.0,-200.0,1631,7.971223e-06,0.0,0.075087436,-6.757732e-05,86.68934,0.15842020511627197,530,1085440,587.5397287369999,1085440
200.0,-200.0,2086,3.0896954e-05,0.0,0.09209113,-0.00020429918,81.39467,0.1574561595916748,540,1105920,598.4972840160001,1105920
200.0,-200.0,2085,7.225579e-07,0.0,0.09158809,-2.980145e-06,89.612495,0.137115478515625,550,1126400,608.3719580060001,1126400
200.0,-200.0,2113,1.26236655e-05,0.0,0.07240579,4.005449e-05,82.28164,0.1601354479789734,560,1146880,618.1295251209999,1146880
200.0,-200.0,2100,2.8146371e-06,0.0,0.049125124,4.2368203e-05,82.30876,0.14837241172790527,570,1167360,627.83596111,1167360
200.0,-200.0,2085,1.4946885e-06,0.0,0.03514049,1.4752673e-05,86.47508,0.12958836555480957,580,1187840,637.532772155,1187840
200.0,-200.0,2056,3.066462e-07,0.0,0.026331108,3.0068506e-05,83.31178,0.11493545770645142,590,1208320,648.1248967500001,1208320
200.0,-200.0,2096,2.622582e-07,0.0,0.027297245,-1.456152e-06,86.88502,0.17958766222000122,600,1228800,657.9512780529999,1228800
200.0,-200.0,2110,3.533694e-06,0.0,0.024962354,-5.577493e-05,80.95029,0.16771215200424194,610,1249280,669.496812312,1249280
200.0,-200.0,2096,9.251884e-07,0.0,0.033913296,-1.8550723e-05,80.96508,0.1755976676940918,620,1269760,679.242213706,1269760
200.0,-200.0,2107,7.349141e-06,0.0,0.040070496,4.1212857e-05,85.87607,0.1521848440170288,630,1290240,689.2382447780001,1290240
200.0,-200.0,2114,3.2523081e-07,0.0,0.025988271,1.234244e-05,83.861015,0.11305677890777588,640,1310720,698.9830172899999,1310720
200.0,-200.0,1619,1.733872e-06,0.0,0.033118602,3.427494e-05,87.36407,0.16114205121994019,650,1331200,710.321439827,1331200
200.0,-200.0,1991,5.050164e-07,0.0,0.02787379,-1.430366e-06,82.907646,0.15518146753311157,660,1351680,721.9401192539999,1351680
200.0,-200.0,2094,1.7027451e-06,0.0,0.02558684,-4.7687703e-05,82.5074,0.17762261629104614,670,1372160,732.1511450590001,1372160
200.0,-200.0,2139,2.9890498e-07,0.0,0.02226815,1.5080674e-05,87.97684,0.11676681041717529,680,1392640,741.911714584,1392640
200.0,-200.0,2113,4.3331173e-07,0.0,0.022982996,-1.5581667e-05,83.82373,0.1292250156402588,690,1413120,751.8252903540001,1413120
200.0,-200.0,2172,1.9390255e-07,0.0,0.022178419,4.2910688e-07,88.94482,0.14984852075576782,700,1433600,761.3884123390001,1433600
200.0,-200.0,2095,4.7023534e-07,0.0,0.018998979,-2.8586423e-05,82.32378,0.10947036743164062,710,1454080,771.075169645,1454080
200.0,-200.0,1614,2.5910154e-07,0.0,0.020429846,-7.098555e-06,83.09683,0.11803138256072998,720,1474560,781.178523135,1474560
200.0,-200.0,2125,4.291984e-06,0.0,0.026665477,-6.721266e-05,88.74321,0.0955929160118103,730,1495040,790.9017767079999,1495040
200.0,-200.0,2088,1.859532e-06,0.0,0.033128295,1.6983278e-05,82.17101,0.16594666242599487,740,1515520,800.5846276279999,1515520
200.0,-200.0,2077,2.8126701e-06,0.0,0.023800017,-1.865538e-05,90.16879,0.1110539436340332,750,1536000,810.4246722759999,1536000
200.0,-200.0,2117,2.3285073e-05,0.00036621094,0.023420032,-0.00027986174,86.300995,0.08829569816589355,760,1556480,820.319925153,1556480
200.0,-200.0,2092,4.8298378e-05,0.0,0.02640082,-0.00011082509,83.364044,0.11289411783218384,770,1576960,830.112879822,1576960
200.0,-200.0,1746,5.7317067e-07,0.0,0.021475876,1.467776e-05,88.062874,0.15285354852676392,780,1597440,840.460518014,1597440
200.0,-200.0,1602,7.039268e-08,0.0,0.013815899,-5.4852608e-06,82.46325,0.15480422973632812,790,1617920,852.9486345529999,1617920
200.0,-200.0,1622,4.1251474e-06,0.0,0.014110966,8.287649e-05,91.87611,0.11977159976959229,800,1638400,865.660584811,1638400
200.0,-200.0,1603,5.56473e-07,0.0,0.013694279,-4.9927417e-05,84.398506,0.13186997175216675,810,1658880,878.036592984,1658880
200.0,-200.0,1655,3.95656e-07,0.0,0.008909801,-1.2607343e-05,83.74213,0.13019567728042603,820,1679360,890.1296985660001,1679360
200.0,-200.0,1621,3.6621367e-07,0.0,0.0073335655,-5.6329445e-06,88.50833,0.1336309313774109,830,1699840,902.7680000160001,1699840
200.0,-200.0,1841,4.3259115e-07,0.0,0.0086399065,-3.2707176e-05,82.46656,0.1596916913986206,840,1720320,914.603574196,1720320
200.0,-200.0,2117,1.8345494e-06,0.0,0.012328339,-2.5588844e-05,90.655334,0.12351024150848389,850,1740800,924.1979279330001,1740800
200.0,-200.0,2083,1.4361528e-07,0.0,0.009932733,-4.9179944e-06,85.84029,0.10290491580963135,860,1761280,933.9405091900001,1761280
200.0,-200.0,2082,6.4772746e-07,0.0,0.015637185,-1.9972085e-05,85.73232,0.11671912670135498,870,1781760,943.6283113290001,1781760
200.0,-200.0,2088,1.507717e-06,0.0,0.016102223,3.1627133e-05,89.585335,0.12106889486312866,880,1802240,953.359994592,1802240
200.0,-200.0,2127,1.1456239e-05,0.0,0.025686536,-0.0001337521,84.53035,0.09359383583068848,890,1822720,963.029794838,1822720
200.0,-200.0,2113,1.3614e-06,0.0,0.017886663,-2.6176742e-05,91.5788,0.15174627304077148,900,1843200,972.7839543059999,1843200
200.0,-200.0,2154,6.928226e-07,0.0,0.014335925,-1.4743884e-05,85.97577,0.1361975073814392,910,1863680,982.421243886,1863680
200.0,-200.0,2075,1.3636784e-06,0.0,0.019275818,-2.2552005e-05,85.632225,0.11261063814163208,920,1884160,992.094702007,1884160
200.0,-200.0,1603,1.5746563e-06,0.0,0.02195625,-3.6941725e-05,88.39534,0.13824403285980225,930,1904640,1002.5190296380001,1904640
200.0,-200.0,1898,2.0303608e-07,0.0,0.0127076525,-3.164634e-06,84.96711,0.10535633563995361,940,1925120,1013.998958748,1925120
200.0,-200.0,2114,7.4858286e-07,0.0,0.014206114,-6.5723114e-05,89.648224,0.14694291353225708,950,1945600,1024.475650525,1945600
200.0,-200.0,2010,3.2250864e-07,0.0,0.02727933,-7.0345777e-06,86.00991,0.10327184200286865,960,1966080,1034.504575468,1966080
