# {"t_start": 1592418739.8292713, "env_id": null} 
r,l,t
1091.0,1587,38.833048
840.0,559,51.292413
973.0,538,63.841751
1230.0,565,78.416012
1124.0,576,91.107401
1720.0,649,106.445662
700.0,451,118.321918
987.0,509,130.470045
1265.0,566,143.109982
844.0,495,155.231223
960.0,528,167.542784
2150.0,659,184.671461
1131.0,481,194.571429
1128.0,544,208.93707
1405.0,558,221.575807
2008.0,583,234.446741
854.0,433,246.340885
2004.0,660,261.643889
980.0,473,273.347549
1266.0,483,283.329929
971.0,458,295.001127
760.0,482,307.028081
823.0,436,316.61417
818.0,434,328.15295
1547.0,506,340.42524
830.0,422,349.942307
1776.0,595,362.941961
1411.0,535,377.313581
812.0,427,386.843318
1421.0,518,399.140007
2050.0,563,411.703203
986.0,440,423.433661
1002.0,425,432.898183
1136.0,497,445.130862
688.0,426,454.623385
2050.0,629,469.958397
969.0,458,481.577059
2540.0,823,500.251272
1858.0,647,515.530252
965.0,462,527.261007
833.0,445,536.917426
1023.0,483,548.877324
1129.0,429,560.656289
1173.0,451,570.464139
988.0,416,579.831602
702.0,409,591.11282
829.0,417,600.628436
1007.0,429,610.16791
840.0,421,619.665472
1935.0,613,634.793127
838.0,406,644.187345
1711.0,610,659.386489
1429.0,529,671.823277
1430.0,514,684.047901
1574.0,580,698.628015
1851.0,614,713.747094
682.0,425,723.326477
1707.0,607,738.525225
825.0,437,748.166959
859.0,437,759.773512
686.0,412,769.059388
896.0,503,781.156396
686.0,418,790.666849
827.0,443,800.383104
1447.0,535,814.635543
1012.0,449,824.290534
967.0,447,835.856395
2539.0,667,851.215595
1142.0,496,863.462102
850.0,413,873.006245
839.0,436,882.503885
1950.0,586,897.112312
952.0,458,906.869106
1689.0,587,921.386348
1256.0,513,933.487804
836.0,441,945.05991
2000.0,759,961.354148
984.0,500,973.234104
820.0,473,984.907436
860.0,455,996.48186
1132.0,563,1008.905421
1012.0,496,1020.791553
1103.0,586,1033.599577
872.0,524,1047.766989
685.0,699,1063.428534
1598.0,969,1087.31912
849.0,564,1099.969325
1723.0,698,1115.905911
907.0,501,1127.898679
726.0,439,1139.527552
729.0,435,1149.100598
693.0,449,1160.704922
725.0,434,1170.451677
872.0,454,1182.488094
854.0,453,1192.392486
1010.0,491,1204.508038
967.0,478,1216.4589
716.0,443,1226.210233
732.0,434,1237.618813
867.0,481,1247.661929
823.0,473,1259.696782
729.0,434,1269.410424
822.0,471,1281.391884
856.0,444,1293.006595
721.0,433,1302.509205
1138.0,494,1314.545046
899.0,498,1326.654258
1277.0,614,1341.909324
1091.0,573,1354.660343
2292.0,720,1372.679764
873.0,436,1382.380278
854.0,430,1392.050205
991.0,529,1406.30537
964.0,497,1416.480628
716.0,442,1428.096706
1891.0,689,1443.937831
1836.0,663,1459.413381
1105.0,515,1471.660399
728.0,449,1483.346632
1280.0,530,1495.952472
1541.0,539,1508.39204
1025.0,473,1520.380732
992.0,456,1532.009992
812.0,458,1541.788859
1008.0,551,1554.351601
715.0,434,1565.756256
1004.0,473,1577.632676
700.0,432,1587.303063
729.0,445,1597.077143
1108.0,535,1611.36541
729.0,439,1621.000107
1130.0,518,1633.281142
1056.0,540,1645.88528
952.0,496,1657.942315
835.0,448,1669.614364
1130.0,549,1682.275929
859.0,456,1692.179946
729.0,434,1703.719774
823.0,471,1715.498802
714.0,434,1725.059235
800.0,482,1737.000066
728.0,434,1746.484446
953.0,484,1758.61423
804.0,465,1770.591167
805.0,468,1780.47748
723.0,439,1792.273207
857.0,459,1802.312256
1278.0,561,1816.899195
731.0,445,1826.568785
833.0,460,1838.42204
969.0,476,1848.313549
998.0,507,1860.501021
708.0,434,1872.064508
981.0,534,1884.438359
853.0,452,1894.172327
1155.0,503,1906.260163
1509.0,644,1921.565121
720.0,462,1933.256418
838.0,472,1945.283262
723.0,434,1954.913841
722.0,450,1966.650334
733.0,445,1976.39941
829.0,455,1988.084568
806.0,478,1998.191098
1906.0,676,2015.800961
1009.0,512,2028.020492
933.0,534,2040.507425
1004.0,536,2052.913598
714.0,456,2064.665785
830.0,510,2077.153711
959.0,512,2089.555648
704.0,488,2099.655918
817.0,492,2112.195673
1245.0,557,2126.776082
1449.0,595,2139.889118
731.0,449,2151.558762
1098.0,512,2163.783448
1166.0,531,2176.009652
703.0,434,2185.62669
1227.0,571,2200.113322
984.0,489,2211.785758
1138.0,563,2224.256124
1059.0,534,2236.726564
1091.0,499,2248.769687
987.0,480,2260.686292
857.0,459,2270.431809
1050.0,535,2282.788115
1005.0,542,2297.177948
714.0,440,2306.86148
719.0,445,2318.560833
2000.0,735,2334.547746
730.0,440,2346.015055
813.0,467,2355.971285
1026.0,489,2367.864619
968.0,505,2379.927113
706.0,456,2391.664951
1081.0,522,2403.908128
720.0,455,2413.76163
1240.0,536,2428.305005
1078.0,534,2440.751824
1076.0,544,2453.299949
1688.0,655,2468.67918
832.0,460,2480.399687
709.0,480,2492.210648
1599.0,626,2505.211872
858.0,481,2516.933037
992.0,479,2528.681963
1048.0,525,2540.921271
871.0,450,2552.579388
1304.0,562,2565.134359
704.0,445,2574.836748
1024.0,518,2587.044017
822.0,476,2598.896297
918.0,509,2611.164632
857.0,451,2622.814484
809.0,471,2632.771045
919.0,509,2645.091645
984.0,518,2657.361997
972.0,503,2669.451882
722.0,435,2680.907073
1201.0,619,2695.905829
822.0,466,2705.89285
990.0,493,2718.081362
1412.0,599,2733.491506
1818.0,641,2748.686983
1720.0,626,2763.790036
1117.0,532,2776.170461
1730.0,658,2791.572863
728.0,448,2801.513484
968.0,485,2813.418696
726.0,440,2825.03442
712.0,445,2834.764709
