# {"t_start": 1592418739.7718172, "env_id": null} 
r,l,t
688.0,1377,33.267397
789.0,553,47.562821
958.0,634,62.818888
1283.0,674,78.380781
1424.0,550,90.828472
1863.0,687,106.511714
842.0,475,118.595842
990.0,460,130.320407
1663.0,560,142.901312
1578.0,613,157.922815
950.0,478,169.759116
1116.0,483,179.720838
853.0,446,191.226008
872.0,476,203.044445
2589.0,725,219.065922
1712.0,622,234.188011
814.0,463,246.352661
843.0,432,255.808071
802.0,439,267.256494
844.0,421,276.623529
816.0,453,286.407525
1571.0,539,300.710553
699.0,404,310.128241
840.0,429,319.640501
798.0,441,331.251426
693.0,409,340.753217
809.0,438,350.411456
846.0,405,359.832711
817.0,433,371.363669
1384.0,524,383.601417
814.0,430,393.227613
681.0,415,402.656535
686.0,400,413.833066
687.0,402,423.291436
2132.0,706,439.161167
1948.0,618,454.244891
951.0,491,466.451417
857.0,456,476.209898
1175.0,494,488.152898
847.0,425,499.494422
1467.0,521,511.749468
1692.0,591,524.611212
842.0,427,536.037946
966.0,467,545.789026
1996.0,574,560.915736
820.0,413,570.387026
688.0,395,579.562698
967.0,422,589.092601
2280.0,618,604.219937
1319.0,495,616.201789
1848.0,553,628.930063
978.0,438,640.550928
835.0,417,649.970722
845.0,436,659.786437
814.0,425,671.279716
859.0,424,680.787671
3116.0,766,698.957358
1153.0,468,710.90018
1905.0,662,726.491752
871.0,434,736.201164
1850.0,562,750.780567
1412.0,529,763.172855
1277.0,504,775.175232
1829.0,595,788.201896
1850.0,612,803.250767
1026.0,452,814.847757
1132.0,493,826.762344
1116.0,522,839.007638
1752.0,556,851.501178
820.0,444,861.331302
2045.0,641,876.763214
825.0,439,888.161995
839.0,439,897.661755
1274.0,525,909.86154
845.0,427,921.127147
1021.0,517,933.263734
1870.0,626,948.386334
1402.0,536,960.798151
797.0,467,972.373544
1172.0,538,984.631202
816.0,470,994.451334
845.0,447,1005.856564
818.0,495,1017.695
682.0,592,1030.627024
694.0,477,1042.350541
1564.0,599,1057.206769
838.0,681,1072.764904
703.0,681,1088.404635
742.0,569,1102.985008
726.0,449,1112.884342
728.0,443,1124.374812
857.0,442,1134.078733
1005.0,561,1148.619246
704.0,437,1158.172513
995.0,489,1170.343913
730.0,455,1182.395908
766.0,497,1192.702999
1011.0,525,1205.117205
728.0,450,1216.809542
929.0,543,1229.346067
722.0,444,1240.821447
815.0,475,1250.874582
813.0,486,1263.040934
714.0,434,1274.749542
821.0,476,1284.755918
729.0,434,1296.229761
1014.0,569,1308.934197
869.0,461,1320.663585
743.0,434,1330.266272
980.0,537,1342.917884
712.0,434,1354.438699
1576.0,595,1367.472951
1291.0,604,1382.540606
913.0,515,1394.84704
1157.0,521,1407.172595
