# {"t_start": 1592481074.4853227, "env_id": null} 
r,l,t
1041.0,2771,64.508089
729.0,592,78.691511
730.0,482,90.087323
894.0,499,99.809262
1561.0,1665,137.903374
699.0,439,148.764006
777.0,429,157.815426
850.0,408,166.677454
1217.0,612,180.998645
1248.0,613,195.371605
735.0,463,206.714073
815.0,391,215.538129
946.0,503,227.226612
775.0,504,238.8884
913.0,527,250.741713
740.0,509,262.348598
1370.0,600,274.875222
1300.0,672,291.806803
1071.0,552,303.828472
718.0,468,315.14059
694.0,448,324.396415
1386.0,823,342.66996
961.0,496,354.383946
1424.0,997,377.65138
800.0,471,389.012055
1296.0,845,407.22326
1875.0,1007,430.727938
1075.0,461,442.035064
1048.0,522,453.984322
1108.0,606,468.412109
1244.0,688,483.511731
1424.0,586,497.714449
1145.0,576,510.082524
1468.0,813,528.289538
917.0,398,539.083288
1281.0,612,551.699721
943.0,490,563.31305
735.0,398,572.23099
1461.0,718,589.732004
755.0,377,598.533066
1385.0,623,613.254246
1034.0,497,624.960037
1199.0,758,642.464641
1912.0,1190,669.642948
1116.0,426,678.813957
892.0,383,687.627053
1280.0,858,707.757793
1179.0,452,717.193689
1033.0,552,731.046343
2488.0,1264,760.250742
1120.0,474,769.958901
1193.0,832,789.935314
1185.0,712,805.228759
800.0,375,813.977054
1972.0,840,834.07401
1325.0,526,846.019752
1521.0,668,861.004085
1268.0,541,873.039364
1528.0,786,892.609464
1958.0,840,910.945759
767.0,366,919.639081
986.0,520,931.541044
722.0,384,940.35175
1152.0,827,958.466206
1279.0,573,972.9352
2144.0,1037,996.489637
966.0,421,1005.643127
954.0,475,1017.121568
798.0,365,1025.813986
1362.0,718,1043.056188
1053.0,453,1052.410416
1622.0,684,1067.551077
1631.0,938,1090.3551
1548.0,558,1102.53608
1865.0,661,1117.406255
853.0,437,1128.450972
1187.0,473,1137.999025
812.0,370,1146.625732
811.0,366,1155.203002
1129.0,533,1167.091894
1042.0,411,1176.086826
1178.0,530,1189.792219
1268.0,450,1199.293247
1887.0,588,1213.600418
1987.0,983,1234.869732
1144.0,709,1252.114496
1362.0,616,1266.651743
716.0,386,1275.72662
2248.0,1004,1299.332852
1055.0,456,1308.797552
962.0,462,1320.148181
1446.0,960,1341.452411
2002.0,690,1358.444017
758.0,366,1367.109056
1166.0,773,1384.667165
1347.0,695,1399.775717
1337.0,794,1417.821382
1334.0,611,1432.211274
1134.0,562,1444.469856
1517.0,664,1461.11971
1393.0,540,1473.058647
1613.0,758,1490.815132
1372.0,771,1508.580671
989.0,398,1517.493231
847.0,392,1526.370304
1526.0,657,1541.366366
1531.0,568,1553.602669
735.0,376,1562.340039
1349.0,543,1576.323174
779.0,398,1585.387849
804.0,398,1594.582314
1040.0,427,1603.829985
1796.0,678,1620.718453
1025.0,479,1630.356934
1194.0,679,1647.320136
1405.0,826,1665.687979
811.0,374,1674.446996
853.0,384,1683.338407
1031.0,530,1695.257671
1992.0,734,1712.628042
1008.0,405,1721.691232
1165.0,442,1731.162955
1158.0,611,1745.793549
1329.0,877,1766.485466
1504.0,666,1781.505531
2134.0,739,1799.039587
952.0,383,1807.986734
1022.0,413,1817.214954
1199.0,598,1831.643902
1186.0,537,1843.722419
808.0,366,1852.499501
2091.0,756,1870.180156
836.0,370,1878.972193
1887.0,740,1896.675888
1573.0,577,1909.43067
1491.0,605,1924.023042
1008.0,395,1933.058093
1321.0,520,1944.990675
1540.0,603,1959.703899
1470.0,545,1971.980593
1983.0,636,1986.881952
906.0,473,1998.470014
1036.0,433,2007.966843
1250.0,2884,2074.409846
2364.0,906,2097.09626
1594.0,673,2112.283642
1418.0,628,2127.067429
1323.0,706,2142.672965
