% time spent exploring,episodes,mean 100 episode reward,steps
92,100,-200.0,19799
84,200,-200.0,39799
76,300,-200.0,59799
68,400,-200.0,79799
60,500,-200.0,99799
53,600,-200.0,119799
45,700,-200.0,139799
37,800,-200.0,159799
29,900,-200.0,179799
21,1000,-200.0,199799
13,1100,-200.0,219799
6,1200,-194.6,239263
2,1300,-175.6,256828
2,1400,-135.7,270398
2,1500,-139.5,284350
2,1600,-123.7,296723
2,1700,-112.8,308003
2,1800,-169.5,324949
2,1900,-199.7,344918
2,2000,-197.6,364675
2,2100,-200.0,384675
2,2200,-197.4,404410
2,2300,-197.6,424169
2,2400,-200.0,444169
2,2500,-199.9,464161
2,2600,-170.4,481202
2,2700,-192.8,500479
2,2800,-200.0,520479
2,2900,-200.0,540479
2,3000,-200.0,560479
2,3100,-200.0,580479
2,3200,-200.0,600479
2,3300,-200.0,620479
2,3400,-199.8,640463
2,3500,-200.0,660463
2,3600,-200.0,680463
2,3700,-200.0,700463
2,3800,-200.0,720463
2,3900,-200.0,740463
2,4000,-200.0,760463
2,4100,-200.0,780463
2,4200,-200.0,800463
2,4300,-200.0,820463
2,4400,-200.0,840463
2,4500,-200.0,860463
2,4600,-200.0,880463
2,4700,-200.0,900463
2,4800,-200.0,920463
2,4900,-200.0,940463
2,5000,-200.0,960463
2,5100,-200.0,980463
2,5200,-200.0,1000463
2,5300,-200.0,1020463
2,5400,-200.0,1040463
2,5500,-199.3,1060390
2,5600,-200.0,1080390
2,5700,-200.0,1100390
2,5800,-200.0,1120390
2,5900,-200.0,1140390
2,6000,-200.0,1160390
2,6100,-200.0,1180390
2,6200,-200.0,1200390
2,6300,-199.6,1220345
2,6400,-200.0,1240345
2,6500,-200.0,1260345
2,6600,-199.2,1280262
2,6700,-198.6,1300124
2,6800,-197.3,1319850
2,6900,-190.1,1338858
2,7000,-188.5,1357709
2,7100,-200.0,1377709
2,7200,-200.0,1397709
2,7300,-200.0,1417709
2,7400,-200.0,1437709
2,7500,-200.0,1457709
2,7600,-200.0,1477709
2,7700,-200.0,1497709
2,7800,-199.2,1517629
2,7900,-199.5,1537575
2,8000,-198.9,1557462
2,8100,-200.0,1577462
2,8200,-200.0,1597462
2,8300,-200.0,1617462
2,8400,-200.0,1637462
2,8500,-200.0,1657462
2,8600,-200.0,1677462
2,8700,-197.9,1697253
2,8800,-196.2,1716869
2,8900,-200.0,1736869
2,9000,-200.0,1756869
2,9100,-195.2,1776385
2,9200,-152.4,1791627
2,9300,-187.0,1810326
2,9400,-195.1,1829837
2,9500,-194.9,1849325
2,9600,-198.4,1869166
2,9700,-184.5,1887615
2,9800,-175.2,1905138
2,9900,-200.0,1925138
2,10000,-200.0,1945138
2,10100,-198.2,1964954
2,10200,-195.6,1984513
2,10300,-199.8,2004492
2,10400,-198.4,2024335
2,10500,-182.2,2042551
2,10600,-199.0,2062449
2,10700,-200.0,2082449
2,10800,-179.6,2100408
2,10900,-185.6,2118968
2,11000,-173.5,2136321
2,11100,-180.6,2154377
2,11200,-200.0,2174377
2,11300,-191.4,2193514
2,11400,-177.6,2211276
2,11500,-200.0,2231276
2,11600,-200.0,2251276
2,11700,-194.6,2270740
2,11800,-200.0,2290740
2,11900,-200.0,2310740
2,12000,-179.8,2328720
2,12100,-196.6,2348382
2,12200,-200.0,2368382
2,12300,-200.0,2388382
2,12400,-200.0,2408382
2,12500,-189.7,2427355
2,12600,-200.0,2447355
2,12700,-200.0,2467355
2,12800,-200.0,2487355
