eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
nan,nan,158,1.1567362e-06,0.0,3.583518,-0.00031212822,0.00805028,-0.00010895729064941406,1,128,3.2247169480033335,512
nan,nan,167,7.87688e-06,0.0,3.5834954,-0.0004213776,2.7962844,-7.522106170654297e-05,2,256,6.279914071004896,1024
nan,nan,170,2.8324004e-05,0.0,3.5834033,-0.0005386317,0.28388783,-0.0003834962844848633,3,384,9.292245722004736,1536
nan,nan,168,4.726151e-05,0.0,3.5831792,-0.00041618932,9.572164,-0.0002702474594116211,4,512,12.3376531860049,2048
nan,nan,168,5.5928285e-05,0.0,3.5827658,-0.0010534173,11.406215,-0.0006917715072631836,5,640,15.384745599003509,2560
nan,nan,169,0.00023977252,0.0,3.5815706,-0.0018153992,10.608672,-0.0003782510757446289,6,768,18.40800743699947,3072
nan,nan,166,0.0003178687,0.0,3.57899,-0.0026013805,6.5322237,-0.0005128383636474609,7,896,21.48105697199935,3584
nan,nan,168,0.00036414515,0.0024414062,3.574672,-0.0028809756,1.5359365,0.0005326271057128906,8,1024,24.519563965004636,4096
nan,nan,168,0.0007185616,0.016113281,3.5668797,-0.005421499,4.6987977,-0.00029075145721435547,9,1152,27.557980841003882,4608
nan,nan,168,0.0025314402,0.1821289,3.542992,-0.011139888,35.86325,0.0004938840866088867,10,1280,30.60481496799912,5120
1377.0,688.0,168,0.0007900643,0.017089844,3.5345767,-0.005825435,5.60753,0.0007933974266052246,11,1408,33.64651096200396,5632
1455.0,683.5,170,0.002795918,0.19726562,3.4997745,-0.005840143,36.41648,0.0013743042945861816,12,1536,36.641845675003424,6144
1499.0,819.3333333333334,171,0.0009783604,0.014160156,3.455887,-0.0019055374,24.00793,0.0016813278198242188,13,1664,39.6240436970038,6656
1499.0,819.3333333333334,171,0.0008011106,0.0234375,3.439047,-0.0042111375,22.313774,0.002902984619140625,14,1792,42.60471040799894,7168
1499.0,819.3333333333334,167,0.0023381142,0.13769531,3.407932,-0.0021915913,34.09573,0.004303395748138428,15,1920,45.67097390800336,7680
1403.0,808.6,170,0.001358796,0.07470703,3.356415,-0.004671834,16.336695,0.007355690002441406,16,2048,48.67198651099898,8192
1262.3333333333333,813.8333333333334,166,0.0006314819,0.0048828125,3.3297074,-0.0029579424,27.203209,-0.0017720460891723633,17,2176,51.738572834998195,8704
1174.5714285714287,818.5714285714286,164,0.0009618639,0.01953125,3.316858,-0.0032199584,28.477953,0.007149100303649902,18,2304,54.85345760999917,9216
1174.5714285714287,818.5714285714286,165,0.00076267123,0.012207031,3.2825494,-0.0027176447,14.589844,0.01194453239440918,19,2432,57.950031756998214,9728
1174.5714285714287,818.5714285714286,168,0.0017016181,0.103515625,3.2324893,-0.0031723855,41.340065,-0.001432180404663086,20,2560,60.982010170999274,10240
1003.1,860.0,166,0.0006474346,0.017578125,3.2426481,-0.0014605161,23.756702,0.005259394645690918,21,2688,64.05326054400211,10752
968.6363636363636,873.0,166,0.0007448765,0.03125,3.247541,-0.00286563,23.691456,0.006524026393890381,22,2816,67.13271555599931,11264
968.6363636363636,873.0,171,0.0013515386,0.06347656,3.2106721,-0.004920152,30.818003,0.005942225456237793,23,2944,70.12626027400256,11776
968.6363636363636,873.0,167,0.0024067583,0.18066406,3.1471424,-0.009547883,38.29356,0.005820035934448242,24,3072,73.18935571500333,12288
937.6666666666666,907.4166666666666,168,0.0012510003,0.064941406,3.1183841,-0.0050824485,39.762314,0.00771641731262207,25,3200,76.22974951800279,12800
892.2142857142857,957.2857142857143,169,0.00071167,0.018554688,3.078178,-0.0016639512,30.492617,0.015558481216430664,26,3328,79.24888839699997,13312
870.2,969.9333333333333,167,0.0002953526,0.00048828125,3.0539978,-0.0020679156,21.819029,0.023729801177978516,27,3456,82.30526286800159,13824
870.2,969.9333333333333,169,0.0018303688,0.111328125,3.0208344,-0.0043418473,43.93521,0.013041317462921143,28,3584,85.32247517599899,14336
844.1875,952.5625,168,0.00062599656,0.00390625,2.9840522,-0.0010830068,40.50453,0.014472484588623047,29,3712,88.35297997900489,14848
812.9444444444445,988.2777777777778,167,0.00050731224,0.0068359375,2.9734285,-0.0015769142,13.218836,0.00297623872756958,30,3840,91.40233517900197,15360
812.9444444444445,988.2777777777778,164,0.00038561443,0.0,2.9810739,-0.0014675105,13.726841,0.012477338314056396,31,3968,94.50973207499919,15872
806.3157894736842,1028.9473684210527,170,0.0012434999,0.083496094,2.957039,-0.003866169,50.113655,0.017280161380767822,32,4096,97.51999649500067,16384
792.8,1051.8,171,0.000698682,0.011230469,2.9607334,-0.0030465676,24.689697,0.01062864065170288,33,4224,100.50914329499938,16896
792.8,1051.8,165,0.0009675113,0.043945312,2.951448,-0.0035847314,39.57496,0.01916646957397461,34,4352,103.61039830100344,17408
781.4545454545455,1119.0454545454545,166,0.00030941187,0.0014648438,2.936005,-0.00015406933,29.416065,-0.0013263225555419922,35,4480,106.68661267500283,17920
768.0869565217391,1106.8695652173913,164,0.00056758145,0.012207031,2.953648,-0.0037627758,24.542248,0.027803540229797363,36,4608,109.79169259100308,18432
757.0,1095.75,164,0.00042261387,0.010253906,2.954729,-0.0024955205,18.652552,0.04593461751937866,37,4736,112.90664097599802,18944
757.0,1095.75,164,0.0008417313,0.03173828,2.9331791,-0.0007612852,20.984802,0.027638256549835205,38,4864,116.02233767099824,19456
