# {"t_start": 1592418739.829272, "env_id": null} 
r,l,t
796.0,1965,47.817875
939.0,637,63.093364
1286.0,597,76.086298
692.0,454,87.680626
1486.0,536,100.096066
840.0,502,112.31233
845.0,525,124.707988
1584.0,604,139.616194
1264.0,548,152.177813
1457.0,552,166.609807
844.0,445,176.174612
816.0,490,188.064311
1240.0,544,200.475775
857.0,427,210.000932
2171.0,655,227.366097
1872.0,591,240.502293
975.0,454,252.275117
2438.0,720,268.103631
930.0,461,279.653111
1709.0,603,294.605372
986.0,456,304.452965
1450.0,528,316.808353
685.0,409,328.120823
842.0,425,337.718257
796.0,429,347.310276
952.0,448,359.052267
812.0,443,368.701092
1677.0,613,383.701322
992.0,419,393.234263
831.0,414,402.651495
683.0,413,413.939314
1021.0,438,423.715204
1269.0,518,435.930472
1875.0,611,451.062256
1119.0,511,463.367046
840.0,431,472.972663
687.0,451,484.516162
971.0,496,496.487423
695.0,425,505.953578
1687.0,538,518.396515
947.0,473,530.216258
945.0,465,541.880066
1548.0,543,554.766171
846.0,409,564.179408
1423.0,493,576.208949
976.0,423,585.683054
1575.0,526,598.065936
1262.0,479,609.963993
1563.0,553,622.634235
832.0,411,633.969305
1802.0,520,646.320037
1001.0,424,655.909301
995.0,454,665.857837
1571.0,499,677.907197
848.0,433,689.408058
990.0,445,699.027411
2131.0,658,714.549474
1132.0,508,726.900601
843.0,417,738.350324
1098.0,505,750.507027
1287.0,523,762.843122
818.0,441,772.399999
1874.0,659,787.875421
979.0,454,799.601403
829.0,435,809.168099
848.0,424,818.638352
1269.0,500,830.649856
1001.0,424,842.029729
682.0,411,851.299208
2142.0,706,867.461918
1266.0,489,879.392969
1396.0,510,891.446317
1709.0,594,906.15844
821.0,465,915.851374
1119.0,497,927.73712
2000.0,723,945.62481
1007.0,516,957.847769
989.0,505,969.834393
1866.0,657,984.985773
1824.0,679,1000.368854
823.0,479,1012.055012
1103.0,618,1026.989349
1321.0,706,1044.617002
859.0,602,1057.612069
852.0,557,1072.053189
1071.0,804,1090.704377
1219.0,587,1103.534681
695.0,461,1115.436878
1438.0,587,1130.17942
966.0,566,1142.854483
1098.0,561,1155.498158
863.0,484,1167.445096
970.0,502,1180.012496
850.0,489,1192.1315
711.0,434,1201.845722
720.0,439,1213.399822
996.0,485,1225.468983
822.0,471,1235.337874
964.0,515,1247.562686
711.0,445,1259.341858
821.0,468,1269.36467
729.0,434,1281.014017
728.0,434,1290.599975
824.0,470,1302.370652
811.0,481,1314.289456
697.0,439,1323.998114
715.0,431,1333.636268
704.0,437,1345.288078
932.0,512,1357.545443
723.0,434,1367.206397
1319.0,596,1382.199542
856.0,433,1391.901194
827.0,447,1403.546052
1459.0,534,1415.911949
728.0,441,1425.571902
856.0,484,1437.756063
2194.0,691,1455.393999
1571.0,557,1467.990433
1129.0,537,1480.422188
1707.0,592,1495.523191
1719.0,574,1508.274572
1043.0,487,1520.388988
1013.0,497,1532.398684
1591.0,604,1547.2403
1278.0,685,1562.895713
811.0,477,1574.789321
729.0,433,1584.389803
1232.0,565,1597.193573
1455.0,567,1611.75817
777.0,492,1623.802131
712.0,434,1633.405324
812.0,471,1645.407832
831.0,456,1655.157542
1014.0,503,1667.272661
716.0,439,1678.987501
716.0,439,1688.737416
729.0,434,1700.314789
713.0,433,1709.892361
715.0,434,1719.452847
729.0,434,1730.873242
715.0,431,1740.444263
818.0,475,1752.271651
709.0,438,1762.121583
727.0,439,1773.775558
713.0,435,1783.443637
993.0,529,1796.151916
825.0,465,1808.01817
730.0,434,1817.662755
1535.0,624,1832.805265
729.0,434,1842.398591
1872.0,739,1860.427056
730.0,434,1871.996923
833.0,467,1881.893059
956.0,499,1893.922772
1104.0,569,1908.472273
818.0,487,1918.622311
950.0,479,1930.44125
1136.0,535,1942.941095
731.0,434,1954.572391
912.0,467,1964.597102
1740.0,659,1981.898411
717.0,445,1991.633519
1144.0,548,2004.25394
