# {"t_start": 1593456306.8243654, "env_id": null} 
r,l,t
1834.0,5196,58.183871
2396.0,1018,68.953204
1841.0,718,76.538967
1714.0,983,86.665697
1748.0,802,95.369257
1481.0,2453,121.208596
2118.0,1126,133.219246
1378.0,633,140.098045
948.0,580,146.194668
890.0,514,151.576305
1155.0,976,162.055415
1477.0,940,171.732333
3309.0,1737,190.146491
2024.0,3225,223.946182
1740.0,824,232.485013
1600.0,2897,262.623526
544.0,398,266.763824
2207.0,913,276.357452
1357.0,677,283.372495
4363.0,1429,298.692021
1816.0,814,307.180059
1793.0,886,316.535682
2341.0,1102,328.133288
1869.0,758,336.069664
1871.0,766,344.097706
1352.0,695,351.545098
1944.0,2135,373.777436
1370.0,636,380.346231
1910.0,680,387.600421
582.0,367,391.455032
1452.0,549,397.118896
579.0,366,400.989501
2352.0,744,408.922319
1777.0,651,415.673428
1782.0,614,421.798793
593.0,364,425.594957
2166.0,1403,440.343059
519.0,435,444.979528
1375.0,664,452.134696
1526.0,846,460.858563
1348.0,667,467.964644
2725.0,1147,479.874555
1637.0,769,487.84434
1337.0,587,493.792996
920.0,498,499.027456
2886.0,1561,515.352958
2423.0,848,524.278254
3101.0,1117,536.021393
1719.0,808,544.315543
2441.0,1062,555.168101
1370.0,733,562.931772
2600.0,2490,588.644566
1985.0,926,598.571749
556.0,388,602.644142
3144.0,3707,641.24198
1496.0,2623,668.499906
1582.0,916,678.079948
1782.0,3218,711.66824
1392.0,969,722.048068
1573.0,3099,754.35638
1497.0,617,760.97704
2175.0,2561,787.985111
1314.0,560,793.678813
1535.0,850,802.641107
1939.0,1062,813.697281
1567.0,2887,843.935675
1312.0,643,850.624134
2451.0,3082,882.567668
1785.0,819,890.945337
2012.0,716,898.454842
930.0,452,903.228552
1570.0,798,911.650755
2508.0,852,920.370826
582.0,375,924.329336
2415.0,684,931.688045
955.0,403,935.863532
2335.0,777,943.968376
1887.0,738,951.752163
1449.0,592,957.725977
1376.0,657,964.517701
929.0,421,969.090938
1620.0,588,975.021085
1467.0,546,980.787997
1515.0,573,986.676899
2512.0,1212,999.46279
1490.0,764,1007.383972
1619.0,817,1015.822636
