# {"t_start": 1593456306.7859285, "env_id": null} 
r,l,t
1381.0,2984,35.122879
1995.0,1667,52.579097
1875.0,832,61.174769
1499.0,751,69.158234
946.0,508,74.488842
2026.0,3036,106.45953
962.0,1091,117.885391
1997.0,988,128.531644
1744.0,805,136.925842
1702.0,1147,149.305617
1064.0,647,156.065588
1481.0,724,163.8373
2132.0,1152,175.894996
3286.0,2585,203.073606
1379.0,982,213.406088
2201.0,946,223.239088
2184.0,1009,233.909283
2565.0,912,243.326017
546.0,398,247.423194
1318.0,586,253.573226
1784.0,791,261.737432
1948.0,894,271.114983
551.0,398,275.251807
962.0,459,280.20889
2247.0,855,289.342946
2502.0,970,299.379301
2343.0,890,308.781603
1361.0,721,316.47858
1575.0,2926,347.34772
1480.0,864,356.317154
1648.0,755,364.251091
1954.0,859,373.284997
1332.0,594,379.525429
959.0,439,383.954631
1912.0,659,390.757272
1341.0,680,397.837959
1116.0,626,404.430437
954.0,432,409.162154
1337.0,567,414.964451
1770.0,662,421.745234
1710.0,650,428.490865
1907.0,1281,441.88917
1765.0,1004,452.681293
1272.0,718,460.317179
1326.0,659,467.102241
914.0,606,473.459681
1944.0,803,481.708812
1135.0,592,487.948446
1385.0,739,495.443932
1270.0,714,503.025895
1059.0,570,508.896294
2012.0,743,516.75914
1530.0,658,523.530244
2423.0,3046,555.176589
1461.0,1111,566.876425
1973.0,1874,586.462027
1823.0,738,593.917399
2712.0,1164,606.096557
2274.0,1077,617.369291
536.0,402,621.501166
1495.0,708,628.841144
952.0,1479,644.379865
2212.0,1376,658.780857
2197.0,1031,669.544227
2510.0,1213,682.169965
1358.0,982,692.55224
1778.0,1168,704.609447
2632.0,3659,742.997287
2091.0,1736,761.26766
1139.0,626,768.035005
2724.0,1959,788.437994
2450.0,1128,800.265029
1365.0,638,806.820916
2335.0,3416,842.618175
1773.0,672,849.590123
1881.0,686,856.926516
1404.0,596,862.943104
2715.0,989,873.24883
2096.0,750,880.994698
2757.0,1034,891.733553
574.0,367,895.54104
952.0,480,900.578888
1392.0,702,907.792277
1900.0,673,914.874428
1906.0,635,921.505084
1359.0,586,927.729947
1342.0,493,932.976974
1916.0,622,939.209405
1396.0,651,946.301644
953.0,440,950.780852
1984.0,760,958.722317
1071.0,568,964.480714
974.0,435,969.174374
1401.0,524,974.573512
1490.0,557,980.186832
959.0,463,985.103702
2509.0,1135,997.008921
2283.0,925,1006.545731
1511.0,804,1014.894366
947.0,484,1019.9457
1811.0,793,1028.216929
