# {"t_start": 1593456306.8020535, "env_id": null} 
r,l,t
1401.0,2887,33.974228
1075.0,1013,44.60386
1632.0,906,54.156703
1126.0,740,61.987855
1742.0,1044,72.922057
2045.0,1007,83.489174
1831.0,807,91.924464
1450.0,617,98.507783
3707.0,2516,125.273633
2421.0,1107,136.755838
1792.0,1037,147.906493
1595.0,927,157.885533
2223.0,1662,175.358338
2152.0,1368,189.594485
2637.0,1191,202.334036
1954.0,905,211.740064
2054.0,941,221.519516
2264.0,785,229.750605
1432.0,626,236.332399
1859.0,917,245.787374
1481.0,580,251.898448
1471.0,637,258.514284
1873.0,783,266.638913
1361.0,650,273.494354
1487.0,585,279.503707
2214.0,915,289.376616
2547.0,984,299.529518
1902.0,858,308.661537
1853.0,900,318.206679
2282.0,1098,329.993739
1505.0,795,338.248681
1374.0,729,345.941703
3388.0,1350,360.040256
2130.0,898,369.389264
2200.0,3091,401.543533
1392.0,549,407.564342
1146.0,540,413.137644
2167.0,762,421.03556
1376.0,552,426.695261
1685.0,843,435.631669
1324.0,793,443.803235
1886.0,874,453.316885
508.0,411,457.587285
2606.0,1027,468.199797
1484.0,745,475.987365
2680.0,924,485.486674
929.0,503,490.737733
1477.0,615,497.213184
1122.0,2857,527.009459
1372.0,637,533.677303
2601.0,1079,544.778781
520.0,439,549.441173
1402.0,689,556.415327
2314.0,2363,581.154464
1378.0,935,590.847893
1343.0,534,596.370467
1522.0,752,604.286317
3568.0,2181,626.953384
1854.0,5193,681.380122
1970.0,825,689.949005
946.0,1694,707.426378
1308.0,714,715.091473
1554.0,2812,744.469003
1395.0,1255,757.816831
1928.0,1552,774.275436
1491.0,1238,787.042142
1967.0,1371,801.396754
2135.0,1012,812.012554
2291.0,1274,825.243437
1356.0,509,830.419678
3126.0,1203,843.056554
3452.0,1062,854.341055
1521.0,920,863.862226
2526.0,865,872.862548
1765.0,607,878.953197
2137.0,722,886.560565
1962.0,2903,916.875335
951.0,457,921.532109
1527.0,567,927.595174
1759.0,694,934.822232
2207.0,703,942.263639
1016.0,480,947.087991
1487.0,553,953.023572
1776.0,588,959.020234
2175.0,848,967.887015
1737.0,748,975.698459
1731.0,644,982.317217
1535.0,658,989.136329
1754.0,626,995.740437
1936.0,1014,1006.270552
3326.0,1796,1025.006299
2584.0,973,1034.958219
1869.0,747,1042.697057
1797.0,3253,1077.258872
1841.0,636,1083.969691
1457.0,755,1091.575721
1592.0,646,1098.503469
2114.0,2978,1129.574309
1514.0,609,1135.964192
1343.0,472,1140.72219
1620.0,673,1147.704768
1350.0,558,1153.62419
967.0,411,1157.859071
2678.0,834,1166.737671
1681.0,620,1172.989732
1543.0,566,1179.046446
2285.0,816,1187.525418
2051.0,598,1193.966661
1370.0,483,1199.118167
2188.0,762,1207.111948
2198.0,703,1214.409997
1783.0,647,1221.191208
3378.0,1086,1232.782985
1583.0,535,1238.351598
1384.0,621,1244.863512
1517.0,540,1250.482471
966.0,417,1254.74263
1176.0,527,1260.252414
2139.0,649,1266.930332
1376.0,519,1272.259782
2621.0,756,1280.145924
2851.0,789,1288.307362
1886.0,705,1295.751782
608.0,348,1299.487668
966.0,432,1303.858392
1347.0,453,1308.718605
2144.0,624,1315.013793
1405.0,544,1320.933721
1341.0,478,1325.690255
1537.0,579,1331.804007
2341.0,639,1338.454795
1642.0,2921,1368.922757
1368.0,518,1374.272421
1464.0,513,1379.670846
1614.0,644,1386.656918
1110.0,472,1391.804032
1900.0,630,1398.205025
2493.0,676,1405.531333
959.0,439,1409.968693
2077.0,633,1416.591501
2193.0,767,1424.521543
2150.0,734,1432.257403
1389.0,519,1437.584106
1664.0,589,1443.792454
601.0,356,1447.248348
2350.0,791,1455.310918
1084.0,501,1460.645029
1463.0,561,1466.562375
2149.0,602,1472.584552
2332.0,711,1480.243794
1814.0,592,1486.57004
1788.0,610,1492.628788
2043.0,706,1500.089675
1700.0,497,1505.217128
1410.0,564,1510.961952
1448.0,469,1515.907254
1317.0,493,1521.032036
1536.0,576,1526.929969
1782.0,547,1532.837615
2571.0,740,1540.523522
1724.0,581,1546.84472
1486.0,559,1552.57254
956.0,391,1556.652137
977.0,429,1561.304655
1372.0,513,1566.687598
2174.0,915,1576.15253
1335.0,500,1581.398691
2204.0,768,1589.405254
1355.0,506,1594.708855
1326.0,530,1600.165754
1435.0,532,1605.722714
1715.0,652,1612.518758
1543.0,559,1618.291757
976.0,457,1623.207367
606.0,345,1626.840555
2411.0,959,1636.68517
2479.0,1095,1648.222187
1115.0,505,1653.536885
1377.0,665,1660.416943
1711.0,543,1666.043901
605.0,348,1669.780569
2465.0,910,1679.305789
1376.0,552,1684.950815
2751.0,707,1692.653696
1464.0,541,1698.481961
2492.0,688,1705.555463
2039.0,2932,1736.341308
1373.0,602,1742.765916
1594.0,699,1749.979229
3241.0,1049,1761.098045
1735.0,597,1767.154731
1299.0,554,1773.138655
2196.0,842,1781.768675
1841.0,5195,1836.40551
1302.0,545,1842.047679
1997.0,830,1851.063371
1368.0,805,1859.44723
2205.0,773,1867.487334
2727.0,1170,1879.612492
1342.0,541,1885.307338
1939.0,767,1893.297892
1762.0,3152,1926.21745
1470.0,714,1933.525829
954.0,453,1938.40028
2346.0,851,1947.52149
970.0,904,1956.986769
1990.0,2947,1988.147527
911.0,494,1993.299618
2993.0,1018,2003.873333
1358.0,598,2010.547333
1384.0,627,2017.162736
2120.0,758,2025.059837
980.0,519,2030.506463
2611.0,939,2040.287464
1627.0,2972,2071.501315
2068.0,870,2080.364238
2118.0,807,2088.973987
2089.0,787,2097.267022
1303.0,580,2103.100452
546.0,390,2107.134579
3288.0,1336,2121.208631
1743.0,830,2129.583899
2518.0,882,2138.64642
1833.0,746,2146.410748
903.0,524,2151.948034
1331.0,556,2157.634958
1975.0,890,2166.939426
1926.0,827,2175.663105
468.0,425,2179.991823
1872.0,819,2188.603077
1775.0,827,2197.09776
2744.0,1042,2207.941378
2295.0,768,2216.026657
2087.0,869,2225.065987
1638.0,733,2232.750566
2014.0,955,2242.638163
1342.0,624,2249.109289
2994.0,994,2259.490643
1482.0,804,2267.898651
1419.0,633,2274.486879
1367.0,801,2282.753372
1320.0,579,2288.965747
1888.0,923,2298.378804
2209.0,1158,2310.48495
1618.0,2966,2341.675213
1451.0,735,2349.391249
1828.0,791,2357.631902
1542.0,669,2364.620669
2183.0,796,2373.070963
2267.0,868,2381.830682
1944.0,943,2391.76636
1126.0,2807,2420.710331
1369.0,638,2427.383354
896.0,539,2432.981107
1287.0,610,2439.311253
1985.0,3061,2471.036088
2280.0,1000,2481.111144
1467.0,710,2488.540138
2633.0,1135,2500.190998
2275.0,1025,2510.646703
1874.0,830,2519.156433
897.0,509,2524.554046
890.0,532,2530.088706
1202.0,2807,2559.375764
2633.0,970,2569.550637
2146.0,924,2579.00753
2143.0,868,2587.95928
1339.0,750,2595.79414
1602.0,2925,2626.487467
1108.0,626,2633.120079
1366.0,606,2639.223402
2028.0,3073,2670.957506
463.0,443,2675.75263
2989.0,1413,2690.475754
1816.0,919,2700.044775
1941.0,915,2709.56564
2382.0,894,2718.794711
2331.0,1010,2729.409455
1628.0,673,2736.340347
2674.0,3315,2770.980935
1715.0,704,2778.353492
2147.0,844,2786.940188
2435.0,834,2795.776264
1453.0,663,2802.729719
3564.0,925,2812.286229
1388.0,685,2819.60317
2330.0,779,2827.686763
1305.0,582,2833.502284
1935.0,758,2841.358858
1377.0,560,2847.157555
3076.0,953,2857.350024
1747.0,797,2865.581295
2895.0,913,2875.046685
1370.0,661,2881.784567
1366.0,826,2890.474366
1792.0,737,2898.27951
1787.0,766,2906.29529
1700.0,986,2916.395502
1544.0,1817,2935.63971
1616.0,2953,2966.433393
2294.0,3182,2999.307944
1017.0,584,3005.38671
1344.0,636,3012.049902
1894.0,863,3020.977893
2118.0,775,3028.935719
1358.0,590,3034.965837
1035.0,555,3040.962902
1739.0,853,3049.650268
1374.0,743,3057.48965
2274.0,855,3066.524579
2599.0,926,3076.159034
